JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
52945.15086928	-19758.247073747	0.645263709663596	H03
53217.41612807	-19772.5176293186	0.47717351453141404	H03
53270.25198163	-19769.5526387518	0.372848791348683	H03
53272.24436684	-19769.1425288313	0.46393700203913707	H03
53291.19665941	-19770.3092635614	0.583449097695682	H03
53307.16268117	-19776.940316827902	0.633604777366724	H03
53307.16824306	-19777.921153091	0.6560561852511051	H03
53308.20998729	-19777.358464600202	0.517560084035963	H03
53308.21556121	-19775.231725231803	0.528694734233812	H03
53321.16177537	-19773.8789877627	0.39156022272431	H03
53946.33929758	-19769.201233601598	0.493418202439412	H03
53951.38946686	-19768.201857133503	0.657698598434317	H03
54054.2048299	-19732.6361592832	0.365806431088043	H03
54078.09467894	-19746.7120583445	0.453839349029519	H03
54080.11143992	-19749.884036897	0.433943377386172	H03
54082.12866745	-19748.7040958201	0.402255769853147	H03
54084.1157342	-19737.7108977698	0.55250467260627	H03
54117.07476996	-19753.717874080197	0.646958093410817	H03
54117.08127251	-19752.1944662098	0.667544693183055	H03
54342.24861955	-19769.9850747469	0.397926361432561	H03
54343.36306138	-19770.6457895438	0.464584419349151	H03
54345.27988898	-19771.8865739826	0.334862134599232	H03
54348.29052937	-19768.9021989896	0.768127768857507	H03
54348.29274397	-19767.2983436011	0.773129543142314	H03
54348.29495672	-19767.365384586403	0.761948326832868	H03
54348.29716923	-19767.0070912558	0.771448486940216	H03
54348.29939483	-19768.2516216076	0.768304618716589	H03
54349.2995658	-19763.703088865997	0.372741791603782	H03
54350.31640412	-19762.683432802798	0.416692278827987	H03
54672.35654572	-19769.570844828402	0.38762723821406	H03
54674.38741564	-19766.8753896341	0.570152266221283	H03
54678.37521833	-19768.9053546394	0.64282965820531	H03
54681.40221631	-19770.7987576911	0.564014842837699	H03
54702.35492783	-19767.556163721198	0.456280472285605	H03
54705.31547405	-19765.2427458799	0.545560392349813	H03
54708.31102057	-19761.9504774927	0.478132102277007	H03
54730.25427618	-19770.9000944571	0.48220841739116904	H03
54733.21774861	-19766.7118743652	0.354380164477125	H03
54734.21431823	-19766.0161546157	0.6029995743332132	H03
54737.17292882	-19766.4299154745	0.56203812408481	H03
54743.14412007	-19767.281988618102	0.382827913896564	H03
54745.1412905	-19769.0164253958	0.41065123419208405	H03
54749.30858749	-19770.5812489846	0.440289994296724	H03
54754.18457121	-19772.7669109968	0.42260631815651906	H03
54758.16111548	-19763.0607904771	0.574364938374049	H03
54758.16669707	-19762.785728868	0.556223184250133	H03
54759.15309242	-19763.836527806798	0.552723708912765	H03
54759.15866973	-19761.793290950598	0.5351214448444991	H03
54760.16522293	-19763.9686247637	0.477861621591022	H03
54760.17079921	-19763.4983717691	0.489416418563985	H03
54761.18334707	-19758.405152678202	0.460096768297855	H03
54761.18892947	-19758.792317964002	0.446505219596951	H03
54762.15746764	-19763.3965121331	0.47311108286889	H03
54762.16304958	-19764.064699402803	0.478185547610579	H03
54776.14125682	-19760.2890131575	0.439210915842696	H03
54780.0870551	-19771.9317843911	0.454028620655241	H03
55020.4145206	-19767.197379972502	0.327361356273919	H03
55022.36657469	-19768.5410129175	0.453693775452173	H03
55023.41745172	-19768.7851454733	0.4106542212831751	H03
55036.39169241	-19766.1507718567	0.443701860925156	H03
55037.37579186	-19769.6317942308	0.344302617256713	H03
55038.38489524	-19770.330073824098	0.366151971516472	H03
55064.33840211	-19763.9399855777	0.377787165229612	H03
55066.34786437	-19764.9285609125	0.407761073398705	H03
55070.27605147	-19759.7202537557	0.431771273863323	H03
55073.26031943	-19757.6533616948	0.600606729480367	H03
55073.26589555	-19759.6071006124	0.516147224023948	H03
55075.24244865	-19761.130260078597	0.825600638293086	H03
55075.24791318	-19760.8096771696	0.74437264636845	H03
55077.2776625	-19763.2921975428	0.681373024257306	H03
55077.28311928	-19761.580216334998	0.746942180587055	H03
55097.26670392	-19764.564202775	0.395674402733541	H03
55100.21103732	-19759.7055925607	0.47239334606307	H03
55106.1563081	-19759.6064511584	0.4427167221790341	H03
55153.09222426	-19756.3760293617	0.518469930720818	H03
55162.09964349	-19753.883503519697	0.442491413708718	H03
55373.41880465	-19719.4627728198	0.8738237380237092	H03
55373.42438342	-19719.5777595833	0.874358970689031	H03
55375.43481557	-19724.2081836594	0.555556163947355	H03
55397.38977368	-19731.473492106103	0.748177895463001	H03
55400.40852713	-19729.7309722987	0.421981574949444	H03
55404.34635145	-19732.246350186797	0.472888565404694	H03
55412.36332508	-19732.973944313202	0.537264318741738	H03
55455.18255681	-19730.842498475402	0.49501791913089105	H03
55457.23558804	-19737.0843184856	0.47959506089414	H03
55463.33960864	-19728.2323030292	0.499064684121552	H03
55465.31310647	-19725.4928834571	0.559049155297341	H03
55480.19400093	-19727.099351956	0.413099266925439	H03
55484.16685591	-19733.9657642564	0.389791712645211	H03
55488.19479883	-19732.8549511909	0.396142446411601	H03
55494.20283862	-19726.520021546003	0.4838537636235651	H03
55497.14226782	-19733.0437870151	0.455741638896028	H03
55499.15870821	-19730.6449503955	0.605292499118799	H03
55516.13421558	-19731.4353239056	0.500077225592015	H03
55523.11100556	-19727.4679843038	0.505466883896538	H03
55574.06235733	-19725.580525968	0.387515151067738	H03
55578.02872828	-19727.6370367699	0.454733948453526	H03
55803.25321965	-19730.3080666928	0.46501914975884	H03
55815.25853195	-19735.6456521708	0.534982534090401	H03
