JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
52840.892291	-8.48	7.26	2.7m
52933.666733	-11.81	4.58	2.7m
53930.951397	25.41	4.08	2.7m
54347.740522	76.44	6.37	2.7m
54376.744143	88.50	4.07	2.7m
54401.617979	86.26	4.55	2.7m
54606.945812	62.97	5.54	2.7m
54663.924822	46.99	5.37	2.7m
54663.938000	39.25	2.76	2.7m
54703.749028	44.40	5.24	2.7m
54732.798800	40.00	3.96	2.7m
54752.702889	40.71	6.14	2.7m
54782.617353	32.02	6.04	2.7m
54986.953099	-3.09	5.05	2.7m
55023.896398	-10.58	6.18	2.7m
55049.798314	-14.30	6.87	2.7m
55101.700768	-23.34	4.92	2.7m
55172.538410	-20.96	7.60	2.7m
55470.683390	-51.54	4.11	2.7m
55496.568795	-54.50	3.56	2.7m
55526.556625	-54.25	6.77	2.7m
55529.556590	-51.40	5.55	2.7m
55548.544742	-46.72	3.67	2.7m
55722.947515	-30.38	7.86	2.7m
55761.927802	-18.40	5.41	2.7m
55790.814330	-16.89	4.45	2.7m
55791.852748	-16.59	4.50	2.7m
55811.740128	-20.36	6.16	2.7m
55812.750735	-25.75	3.56	2.7m
55817.780745	-33.40	6.91	2.7m
55838.671924	-13.10	5.43	2.7m
55840.686936	-7.06	3.68	2.7m
55841.664865	-10.98	5.72	2.7m
55842.697923	-13.76	5.16	2.7m
55845.589786	-7.23	4.97	2.7m
55846.724380	-18.09	3.57	2.7m
51790.584381	-9812.49	5.63	C98
51793.616602	-9814.45	5.39	C98
52076.910375	-9747.6	5.88	C98
52076.924091	-9740.14	6.4799999999999995	C98
52078.935934	-9734.08	11.29	C98
52078.949732	-9734.98	11.43	C98
52079.903529	-9731.25	9.709999999999999	C98
52079.928184	-9741.51	7.119999999999999	C98
52131.805595	-9742.19	4.8500000000000005	C98
52131.81894	-9739.99	4.91	C98
52135.798019	-9734.5	5.56	C98
52135.811341	-9745.210000000001	7.8	C98
52136.747536	-9730.63	4.97	C98
52136.761298	-9727.740000000002	4.96	C98
52144.77022	-9738.630000000001	4.84	C98
52144.783622	-9742.53	4.96	C98
52167.626739	-9748.12	3.92	C98
52167.640129	-9737.349999999999	3.93	C98
52177.68304	-9733.43	4.98	C98
52177.696384	-9725.0	4.98	C98
52183.558625	-9726.61	5.04	C98
52183.57205	-9722.8	5.35	C98
52197.609948	-9717.3	4.33	C98
52197.623233	-9725.519999999999	4.37	C98
52438.876888	-9715.19	4.56	C98
52443.882301	-9714.359999999999	6.33	C98
52443.896006	-9721.619999999999	5.84	C98
52444.856471	-9727.44	4.8	C98
52446.888426	-9733.24	4.6	C98
52460.815598	-9719.59	6.07	C98
52465.800728	-9728.09	5.0600000000000005	C98
52543.661403	-9745.41	4.71	C98
52547.638507	-9752.31	5.5	C98
52562.591349	-9753.81	4.74	C98
52565.57676	-9741.11	5.75	C98
52802.873204	-9783.36	5.98	C98
52802.886701	-9784.55	11.37	C98
52853.778132	-9805.75	5.8999999999999995	C98
52853.792137	-9796.16	5.96	C98
52898.689199	-9799.84	5.33	C98
53166.809945	-9847.429999999998	10.24	C98
53166.823419	-9832.97	11.25	C98
53167.76801	-9842.2	10.82	C98
53215.779109	-9852.44	5.43	C98
53237.759768	-9825.56	7.44	C98
53262.708108	-9845.710000000001	3.93	C98
