JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51256.539400000125	42653.0	6.0	C98
51268.566300000064	42653.0	7.0	C98
51268.5784	42653.0	8.0	C98
51299.5027999999	42654.0	7.0	C98
51299.51500000013	42671.0	7.0	C98
51569.70990000013	42675.0	5.0	C98
51578.729799999855	42689.0	5.0	C98
51587.59400000004	42685.0	5.0	C98
51607.59180000005	42686.0	6.0	C98
51611.56790000014	42696.0	8.0	C98
51614.582899999805	42704.0	7.0	C98
51624.61860000016	42690.0	6.0	C98
51898.805300000124	42658.0	6.0	C98
51907.78729999997	42643.0	6.0	C98
51909.75859999983	42651.0	6.0	C98
51911.83229999989	42647.0	5.0	C98
51956.64220000012	42647.0	6.0	C98
51967.61390000023	42631.0	7.0	C98
51969.597800000105	42626.0	5.0	C98
51971.58570000017	42624.0	6.0	C98
51976.60650000023	42623.0	5.0	C98
51982.617999999784	42621.0	5.0	C98
51982.63130000001	42636.0	5.0	C98
52005.65450000018	42639.0	8.0	C98
52223.84819999989	42696.0	5.0	C98
52224.82120000012	42699.0	5.0	C98
52252.779899999965	42690.0	5.0	C98
52252.79309999989	42702.0	5.0	C98
52288.73430000013	42692.0	4.0	C98
52288.747599999886	42689.0	4.0	C98
52290.73190000001	42702.0	5.0	C98
52290.74519999977	42699.0	5.0	C98
52292.7052000002	42708.0	6.0	C98
52292.71849999996	42688.0	6.0	C98
52301.78439999977	42693.0	5.0	C98
52305.75900000008	42692.0	5.0	C98
52306.75730000017	42692.0	5.0	C98
52308.714699999895	42689.0	4.0	C98
52309.66559999995	42686.0	5.0	C98
52317.64740000013	42694.0	6.0	C98
52323.70750000002	42704.0	4.0	C98
52328.652199999895	42685.0	5.0	C98
52328.66550000012	42687.0	5.0	C98
52344.61810000008	42692.0	5.0	C98
52344.63139999984	42692.0	5.0	C98
52355.60930000013	42691.0	5.0	C98
52367.55060000019	42691.0	5.0	C98
52368.59569999995	42701.0	6.0	C98
52379.59720000019	42677.0	6.0	C98
52379.61059999978	42690.0	7.0	C98
52390.490100000054	42681.0	6.0	C98
52390.50359999994	42686.0	6.0	C98
52402.51580000017	42685.0	7.0	C98
52402.52950000018	42683.0	6.0	C98
52622.81169999996	42636.0	5.0	C98
52642.74459999986	42652.0	5.0	C98
52643.75339999981	42641.0	6.0	C98
52667.702399999835	42669.0	5.0	C98
52667.716000000015	42667.0	5.0	C98
52668.733899999876	42674.0	5.0	C98
52668.747599999886	42673.0	5.0	C98
52673.6614000001	42664.0	5.0	C98
52673.674999999814	42674.0	5.0	C98
52674.717499999795	42677.0	6.0	C98
52674.731099999975	42673.0	6.0	C98
52685.602099999785	42683.0	5.0	C98
52712.57750000013	42680.0	6.0	C98
52712.591000000015	42686.0	6.0	C98
52716.62350000022	42681.0	5.0	C98
52716.637099999934	42685.0	5.0	C98
52984.74744621	42721.412306327205	2.086823755029359	H03
52999.83101977	42719.9574104161	2.082484897562858	H03
53002.74725978	42717.3745961415	2.0664021343399597	H03
53033.72063929	42707.376002887104	2.210235469274938	H03
53048.58005423	42703.7445924067	2.048155859706148	H03
53400.7477141	42735.771260828005	2.093078328239373	H03
53402.64601798	42739.175607181896	2.136703424693775	H03
53404.69328838	42734.1051878396	2.033102386787589	H03
53405.75867038	42732.814032623995	2.047688809821703	H03
53406.65981009	42733.398741873105	2.0491051641087594	H03
53407.68515939	42734.137558925	2.042003488881183	H03
53408.69524057	42733.8077909737	2.0465960145556714	H03
53409.74464128	42734.7626271568	2.0809077487248464	H03
53410.68950275	42735.7798558651	2.0453318734106243	H03
53411.69098701	42736.6159927797	2.0460814422351303	H03
53412.61630118	42735.1040579816	2.0485084748108093	H03
54049.83945065	42704.512234285095	2.0461845259935716	H03
54738.88974113	42668.9582120037	2.157808449236675	H03
55116.87403647	42697.6653648776	2.049003887842398	H03
55287.61301926	42680.8208579417	2.0387970311192958	H03
55293.54356224	42681.009137874295	2.03828211398632	H03
55295.54527805	42676.1664877522	2.0394895699327527	H03
56623.84619121	42658.8637663357	2.0477299198023755	H03
56627.76352802	42659.2182489584	2.051503029753944	H03
