JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50838.737442	-72.773911	1.559108	Hir94
51051.058634	-86.878510	1.539787	Hir94
51072.125683	-94.492478	1.484096	Hir94
51173.874074	-88.959641	1.720187	Hir94
51412.139421	-84.206490	1.838141	Hir94
51550.939479	-81.748933	1.532452	Hir94
51552.875000	-83.575738	1.816805	Hir94
51884.001331	-75.500009	1.954933	Hir94
51901.044456	-75.918160	1.660482	Hir94
52188.117141	-77.981095	1.729390	Hir94
52536.980926	-86.678430	1.855850	Hir94
52850.124757	-75.997399	1.734642	Hir94
52989.846516	-74.067437	1.775574	Hir94
53302.032616	-69.677535	1.836482	Hir04
53984.069317	-80.078659	1.399750	Hir04
56195.076932	-65.130979	1.698187	Hir04
57412.847576	-48.304969	1.694172	Hir04
57422.902500	-45.865012	1.798257	Hir04
57598.131946	-51.104648	1.993384	Hir04
57601.139677	-45.488961	1.896990	Hir04
57714.145350	-34.833246	4.215455	Hir04
57760.784416	-34.463954	1.935979	Hir04
57761.818157	-23.724361	1.772956	Hir04
57965.129431	-30.898775	1.809273	Hir04
57985.141872	-23.002242	1.414207	Hir04
57989.143818	-34.431840	1.718701	Hir04
58000.012090	-26.123969	1.757803	Hir04
58113.855724	-13.064155	2.034074	Hir04
58390.123032	-15.654777	1.797180	Hir04
58397.021385	5.927036	1.815810	Hir04
58490.904210	7.199281	2.079605	Hir04
58710.141873	15.469356	1.763376	Hir04
58711.143783	22.077381	1.734992	Hir04
58714.135512	16.961059	1.746769	Hir04
58716.128179	17.382651	1.879441	Hir04
58720.138297	25.639598	1.763401	Hir04
58723.137742	22.113467	1.713091	Hir04
58724.093910	19.472708	1.846805	Hir04
58733.076549	27.534333	1.757167	Hir04
58743.998678	14.489565	1.968467	Hir04
58747.070197	24.907431	1.808304	Hir04
58774.916550	26.344577	1.744747	Hir04
58776.927290	26.517448	1.754289	Hir04
58794.863958	33.077149	1.954931	Hir04
58797.947798	33.247750	1.906218	Hir04
58809.062157	26.585327	1.833813	Hir04
58845.891565	43.122611	1.792122	Hir04
58879.766973	37.669549	1.532546	Hir04
58903.806304	46.550743	1.706096	Hir04
58904.812814	41.946748	1.684067	Hir04
58695.007676	-19.999874	1.691734	Apf
58697.939824	-18.406246	2.480152	Apf
58699.999413	-18.024103	1.715346	Apf
58700.913023	-20.124056	2.273746	Apf
58702.909428	-13.283801	2.175320	Apf
58707.997785	0.355261	1.572482	Apf
58708.985758	-12.015345	1.504158	Apf
58711.921252	-9.293114	1.637835	Apf
58712.922157	-3.924231	1.550208	Apf
58713.871054	-8.298085	2.116504	Apf
58715.959609	-11.312419	1.367716	Apf
58720.844766	-11.127014	2.433668	Apf
58721.893142	-9.717159	1.703408	Apf
58723.929566	-7.613399	1.738714	Apf
58724.936920	-8.474665	1.681836	Apf
58726.839303	-12.044038	1.988813	Apf
58727.828357	-4.124473	2.063300	Apf
58731.911020	0.014702	2.146223	Apf
58732.919624	2.084952	1.661094	Apf
58733.817430	-8.264721	1.742848	Apf
58735.807238	-6.440340	2.448183	Apf
58737.800286	-9.341743	2.297372	Apf
58739.795741	-4.123875	2.206628	Apf
58743.804447	-6.096601	2.641164	Apf
58744.795024	-3.526094	2.393725	Apf
58747.958749	-5.844114	1.573882	Apf
58748.774841	3.076770	1.910528	Apf
58749.769953	-25.062136	2.899040	Apf
58751.801347	-12.224169	1.855269	Apf
58752.851542	-5.779696	1.664187	Apf
58753.880798	-0.750190	1.761974	Apf
58754.883893	-6.135043	2.781354	Apf
58758.752850	-2.682208	2.352408	Apf
58759.742849	-0.628227	2.018135	Apf
58760.738531	-24.673807	2.801956	Apf
58762.736814	-11.439418	2.655897	Apf
58764.730023	0.160355	2.169523	Apf
58765.729323	0.053690	2.823152	Apf
58768.731279	-2.307235	2.380322	Apf
58775.710235	-6.647624	3.150221	Apf
58779.000389	12.426230	2.319444	Apf
58779.836619	-6.537305	2.440627	Apf
58781.795618	-8.783987	2.036408	Apf
58783.776778	-1.502754	1.977853	Apf
58789.745722	3.764639	2.016593	Apf
58790.767595	-3.305713	1.733262	Apf
58791.659021	6.828609	2.244101	Apf
58792.758370	-0.961531	1.909647	Apf
58793.653427	8.351765	2.279055	Apf
58794.680247	-3.434225	2.047925	Apf
58796.729936	12.422368	2.141965	Apf
58797.718555	-1.793770	1.736420	Apf
58798.685413	-8.607659	2.261704	Apf
58799.651100	5.112218	2.167740	Apf
58803.783447	-2.059848	2.348915	Apf
58804.696440	-8.359933	2.973880	Apf
58805.645590	-1.954898	2.224924	Apf
58806.639091	1.071149	2.006570	Apf
58808.624490	-12.254018	3.357764	Apf
58809.772409	-1.152982	2.293951	Apf
58810.809016	8.775896	1.901542	Apf
58811.731686	11.755589	2.222348	Apf
58812.651588	9.065328	2.145390	Apf
58833.899429	4.821299	2.499586	Apf
58834.704057	0.041003	2.131650	Apf
58837.764415	2.778589	2.169945	Apf
58853.606036	15.979920	2.912129	Apf
58854.672290	14.710797	2.122572	Apf
58859.678155	1.562259	1.928994	Apf
58876.791517	15.562036	2.582921	Apf
58878.738129	14.793452	2.141451	Apf
58879.711515	14.022572	2.013265	Apf
58880.724307	11.935219	2.072378	Apf
58881.660611	15.069727	1.363066	Apf
58885.735087	12.034352	1.710763	Apf
58886.732946	8.560898	1.471330	Apf
58887.681560	14.852255	1.901505	Apf
58888.857318	13.720532	2.769921	Apf
58891.793589	13.334836	1.431883	Apf
58896.771255	13.787298	1.849980	Apf
58898.823971	12.685970	1.813657	Apf
58899.769491	16.278276	1.743833	Apf
58900.734755	11.312492	1.831427	Apf
58914.776129	19.353256	2.278580	Apf
