JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51757.122442	4.439282	1.315028	Hir94
51792.972465	5.281316	1.583211	Hir94
51882.835058	40.730710	1.390996	Hir94
51883.848287	46.104367	1.635490	Hir94
51900.837813	75.056531	1.283104	Hir94
52063.125764	16.478314	1.526202	Hir94
52065.128808	28.925412	1.902407	Hir94
52096.114421	17.538281	1.476747	Hir94
52097.067616	19.402600	1.807660	Hir94
52128.116065	12.881330	1.654653	Hir94
52133.055752	14.065702	1.497464	Hir94
52133.926134	11.553945	1.573529	Hir94
52162.918484	1.802861	1.567897	Hir94
52187.962442	-0.658473	1.444041	Hir94
52515.016898	17.720639	1.522125	Hir94
52535.988854	9.843061	1.523400	Hir94
52574.784120	7.968579	1.954472	Hir94
52806.126273	103.178281	1.465718	Hir94
52897.902813	26.060483	1.431957	Hir94
53180.122118	23.276189	1.365434	Hir94
53723.746609	46.388853	0.948414	Hir04
53751.749132	26.443220	0.819984	Hir04
53752.814468	27.741990	1.042558	Hir04
53961.018738	-20.747513	1.042527	Hir04
53981.909468	-23.177645	0.903819	Hir04
54339.102546	-17.540620	1.035109	Hir04
54343.930671	-25.568428	1.068775	Hir04
54397.801910	-28.710103	0.941839	Hir04
54430.763206	-26.193977	0.992507	Hir04
54806.839560	-34.074116	1.128651	Hir04
54819.895055	-28.927247	1.006898	Hir04
55189.785434	-30.315078	0.925567	Hir04
55381.079389	4.646646	1.021161	Hir04
55414.027003	61.975797	1.000277	Hir04
55435.043986	51.749867	1.114709	Hir04
55522.892523	-11.665383	1.102999	Hir04
55806.917828	-20.184918	1.054845	Hir04
56112.131268	-31.390367	1.034220	Hir04
56472.127721	-20.816955	1.031283	Hir04
56548.095534	-31.170272	1.077039	Hir04
56549.831893	-28.646026	1.032403	Hir04
56549.837333	-29.338173	1.069229	Hir04
56551.863353	-35.183764	1.008096	Hir04
56553.048190	-31.058857	1.218870	Hir04
56584.925720	-31.068750	1.095439	Hir04
56585.963204	-33.583416	1.126541	Hir04
56640.863009	-20.518172	1.107169	Hir04
56674.699195	-5.955373	1.098272	Hir04
56676.740873	-6.168449	0.950982	Hir04
56708.718896	40.399699	1.203591	Hir04
57002.760361	-20.582901	0.930277	Hir04
57265.116846	14.752890	1.040364	Hir04
57401.698309	0.048434	0.910821	Hir04
57596.961912	93.162274	1.194794	Hir04
57774.699910	14.849484	0.969779	Hir04
58125.703564	46.981774	1.112317	Hir04
58345.964287	8.967769	1.522001	Hir04
58652.126089	25.371044	1.168778	Hir04
58739.021502	9.323253	1.021087	Hir04
58880.702419	51.767722	1.128349	Hir04
