JD–2400000	VRad(m s-1)	sVRAD(m s-1)	group
53298.20881182	5520.60764124921	0.981132541535745	H03
56082.38790745	5485.31104972802	0.848755931800973	H03
56082.39348727	5487.33875204549	0.771044141789078	H03
56087.40541865	5493.77438402335	0.634403519453379	H03
56087.41099882	5498.39281790854	1.14895189474212	H03
56118.40958126	5490.207996702819	0.301710732161271	H03
56150.32017287	5508.92002819523	0.554260609626754	H03
56172.29606221	5541.21834179383	0.510013789707595	H03
56172.30165712	5542.61305790211	0.515410913431617	H03
56204.23367997	5559.508666582419	0.361160190650053	H03
56250.01135756	5538.9688490116405	0.441679702108897	H03
56250.01693059	5539.53434291332	0.477393929145586	H03
56292.05466144	5533.83576140885	0.343980971593041	H03
58409.05753887	5719.176655563891	0.543192363999689	H15
58411.98758187	5717.11110221562	0.502090712238483	H15
58413.14366302	5717.090128629119	0.606332703496104	H15
58467.01573121	5707.14125377141	0.488503277300878	H15
58467.02095498	5706.83493377226	0.511599538786105	H15
58468.01762647	5705.68818207627	0.41391832992856	H15
58468.02284932	5703.158963805229	0.396841519022963	H15
58469.02087539	5706.0578586176	0.430080876259398	H15
58469.02609858	5704.3400201043105	0.417045691862572	H15
58471.01619479	5701.8273329206195	0.468962079746909	H15
58471.02141741	5703.61878963859	0.47337188804698	H15
58617.43248216	5716.12860855336	0.513390432127353	H15
58617.43632322	5714.54085625179	0.518304479314017	H15
58691.2504415	5747.69067492231	0.540647762727574	H15
58691.25601321	5749.84165237462	0.500966572568385	H15
50830.95872	28.77	3.17	AAT
51121.01944	35.92	3.56	AAT
51385.3087	81.18	7.88	AAT
51385.31278	86.97	8.85	AAT
51411.20252	74.47	6.3	AAT
51473.08503	32.93	3.32	AAT
51525.92509	53.02	3.99	AAT
51526.95178	49.33	3.91	AAT
51526.9541	40.66	4.2	AAT
51683.33138	85.37	3.77	AAT
51743.27654	84.26	3.39	AAT
51745.26417	89.67	5.53	AAT
51767.2699	62.85	3.63	AAT
51768.25417	65.09	3.16	AAT
51828.06072	39.36	3.89	AAT
51856.06429	11.	5.49	AAT
51856.92498	45.25	7.41	AAT
51918.94072	54.48	3.8	AAT
52061.29448	82.86	4.79	AAT
52061.29858	84.42	4.89	AAT
52092.26831	68.98	3.34	AAT
52093.28756	58.35	3.28	AAT
52127.22295	33.56	4.08	AAT
52128.15455	41.38	3.89	AAT
52130.24334	34.35	3.6	AAT
52151.21126	30.57	2.92	AAT
52152.07857	35.51	3.66	AAT
52154.14991	30.32	5.6	AAT
52154.15685	26.32	4.28	AAT
52187.09998	32.51	2.95	AAT
52188.03596	29.6	2.95	AAT
52189.01701	2.63	5.3	AAT
52189.02122	30.93	3.58	AAT
52189.9852	20.57	6.26	AAT
52190.00714	34.93	3.22	AAT
52423.32977	57.3	3.14	AAT
52425.33759	38.61	3.3	AAT
52456.32088	14.29	3.49	AAT
52477.24794	24.45	3.46	AAT
