JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51192.69790838985	36822.60523	4.801282	C98
51271.509269020054	36851.765179	6.27018	C98
51271.52130541019	36855.176941	6.070063	C98
51544.768392529804	36842.789288	4.791124	C98
51576.685047429986	36850.744078	4.201044	C98
51578.68959794985	36847.798383	4.812609	C98
51605.58716189023	36849.385551	4.150825	C98
51613.53107191017	36849.354544	4.089224	C98
51861.8065337101	36843.815445	4.429907	C98
51865.83781810012	36844.837939	4.057143	C98
51868.8155530598	36841.166020000004	3.89883	C98
51899.730066679884	36840.683833	3.990817	C98
51908.7548179701	36847.719583	3.258988	C98
51958.63043399993	36840.866843	3.626272	C98
51967.598262730055	36826.978925	4.611497	C98
51982.55371750984	36836.114989	3.236186	C98
51982.56546462001	36828.709425	3.836901	C98
51997.56652869983	36830.679074	6.214581	C98
52222.845770569984	36833.112445	3.010347	C98
53049.55459934985	36788.981135	2.891934	C98
53297.86905639013	36773.689517	3.852837	C98
53330.838273399975	36780.881366	3.165158	C98
53346.83173554996	36754.264454000004	3.205278	C98
53362.83538714005	36764.149900000004	2.231186	C98
53370.77871074015	36768.9547	2.502979	C98
53371.73052498	36782.428022	2.500071	C98
53414.59531923989	36779.468824	2.473388	C98
53416.63723324984	36776.38279	2.979653	C98
53443.57825125009	36782.678574	2.405774	C98
53671.8288859101	36775.437114	2.55586	C98
53721.74294175021	36787.517323	2.518942	C98
53725.71262035007	36789.57649	2.555129	C98
53729.688673589844	36798.133697	2.61828	C98
53738.729690229986	36799.050826	3.612763	C98
53767.73908002023	36797.379558	3.089018	C98
53777.6299312301	36797.773185	2.653005	C98
53782.66293348977	36808.503086000004	2.880458	C98
53785.629405579995	36795.133628	3.087249	C98
53794.585679910146	36804.780321	2.955897	C98
53802.61260687001	36810.605176	3.755018	C98
53818.59359573014	36812.405768000004	2.988531	C98
54046.86236114008	36803.376708	3.490608	C98
54060.815951100085	36820.809629	4.055707	C98
54434.82211573003	36783.808669	3.48106	C07
54439.80517278006	36797.269344	3.380611	C07
54457.85670189001	36800.839725	3.501315	C07
54458.8440916501	36798.474706	3.608403	C07
54459.81025333004	36798.67065	3.338533	C07
54460.80313907005	36800.665098	3.513536	C07
54470.84612395987	36810.78806	3.358035	C07
54471.851985409856	36808.068607	3.533319	C07
54493.673436219804	36811.072573	3.407214	C07
54769.87656693999	36793.47113	3.458862	C07
54809.772717569955	36774.744244	3.42681	C07
54812.76275557978	36777.411005	3.659621	C07
54817.73164045997	36795.638475	3.300954	C07
54818.62476219004	36786.613122	3.111889	C07
54833.802510370035	36792.836346	3.356125	C07
54834.79765634006	36789.36072	3.680899	C07
55126.85996494023	36785.677525	3.654868	C07
55168.76120661991	36795.369591	7.004134	C07
55204.764896050096	36791.250872	3.037441	C07
55238.72927793022	36791.298291	3.301297	C07
55266.66000725003	36788.617569	3.414944	C07
55266.6667314698	36799.386262	3.540725	C07
55294.5546601098	36780.259303	3.35106	C07
55309.543751960155	36785.95914	3.017071	C07
55326.48854858009	36785.513041	3.282008	C07
55490.763728159945	36781.632395	3.036858	C07
55546.64344607992	36781.709509	3.128604	C07
55557.762500070035	36783.399395	3.2864	C07
55572.81283150008	36789.537852	3.439802	C07
55672.54310243996	36782.755212	3.730961	C07
55874.774470279925	36792.647412	3.671114	C07
55888.742388640065	36785.464079	10.908844	C07
55896.74021282978	36780.064128	3.101559	C07
55992.642415389884	36785.8477	2.841631	C07
56254.680686969776	36802.730453	4.291768	C07
56257.76541770995	36802.30321	4.259779	C07
56640.73568189982	36824.695386	3.049639	C07
56671.72836630978	36843.039802	3.198328	C07
56890.92108417023	36841.727046	5.298524	C07
57022.63594932016	36832.982715	2.682705	C14
57142.49623388983	36830.639446999994	2.604369	C14
57656.86970504979	36821.476517999996	3.03587	C14
57714.71966383979	36830.384481999994	3.234514	C14
57733.72231337987	36819.148748	2.624572	C14
57769.69942576019	36820.937273999996	3.2185	C14
57971.925810989924	36823.966498999995	3.623243	C14
57994.88740365021	36807.864972999996	3.896158	C14
58004.90773975989	36813.829702999996	4.381162	C14
58018.88902407978	36812.163957	4.155567	C14
58023.87208581995	36809.930984	4.032295	C14
58033.84043660993	36808.066688	3.613009	C14
58035.83118230011	36816.032498	4.267452	C14
58037.83074817993	36814.1904	3.631905	C14
58067.719844030216	36813.907838	3.225795	C14
58081.69422260998	36812.802881999996	3.480422	C14
58092.643679270055	36815.673878999994	3.527628	C14
58093.67759031011	36822.14492	3.532484	C14
58099.65931960987	36818.377035	3.372115	C14
58101.694257759955	36813.913631999996	3.692697	C14
58104.661667889915	36825.54715	2.971555	C14
58113.684373119846	36817.641395	2.64831	C14
58117.68496837979	36820.762281999996	3.191692	C14
58120.651339150034	36818.212347	3.536825	C14
58121.67520107981	36814.594424999996	3.237115	C14
58130.60551508982	36820.78441199999	5.04411	C14
58133.6208877801	36822.335204999996	2.756951	C14
58136.640221479814	36815.375955999996	3.192754	C14
58138.678433369845	36809.859563	3.02806	C14
58203.49559652014	36821.507955999994	3.028784	C14
58216.5101822	36827.56766	3.309069	C14
58370.87708486989	36822.93302	4.404462	C14
58390.88385260012	36809.291704999996	16.567126	C14
58390.88864452019	36799.198079999995	5.336175	C14
58411.88186299987	36814.694799	3.716783	C14
58414.845716369804	36830.267405	3.76505	C14
58446.75955667999	36826.426482999996	3.556955	C14
58474.77682135999	36817.11513	3.423839	C14
58477.7485507899	36832.025905999995	3.52498	C14
58493.6358117098	36823.240697999994	4.15804	C14
58495.61130854022	36827.818780999994	3.813704	C14
58498.81547729997	36834.937680999996	3.195576	C14
58534.628521880135	36835.310417	3.856805	C14
58536.62277738005	36831.282811	4.015132	C14
58541.59691153001	36833.547035999996	3.877013	C14
50418.984734	28.675736	1.671307	Hir94
50462.913854	22.029800	1.487676	Hir94
50462.969664	21.146034	1.378457	Hir94
50546.792789	21.874428	1.846975	Hir94
50806.980579	19.267593	1.794467	Hir94
50837.888611	10.084564	1.602832	Hir94
50861.788403	13.383553	1.436995	Hir94
51073.144086	12.050507	1.758252	Hir94
51171.912512	15.990883	1.517889	Hir94
51227.839931	28.722466	1.676593	Hir94
51580.856273	46.138962	1.803354	Hir94
51583.910602	49.084045	1.628354	Hir94
51585.911863	44.294632	1.861810	Hir94
51882.952211	42.440125	1.892446	Hir94
51974.720694	30.441910	1.556715	Hir94
52242.952488	28.228256	1.886034	Hir94
52307.832280	24.242325	1.711081	Hir94
52334.859062	28.023354	1.887026	Hir94
52538.133345	15.845467	2.025396	Hir94
52574.033206	16.380920	1.884028	Hir94
52575.095856	16.430740	1.970284	Hir94
52600.978368	4.564766	1.716110	Hir94
52651.935787	1.998230	1.875664	Hir94
52711.732743	-2.013954	1.776308	Hir94
52899.136157	-1.755745	1.533848	Hir94
52924.140775	1.862419	1.893429	Hir94
52987.921435	-11.027908	2.969379	Hir94
