JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50207.3325	27290.918715	6.828903	ELODIE
50208.3345	27249.918484	7.171326	ELODIE
50209.335	27236.918254	7.051480	ELODIE
50210.3319	27228.918024	6.754851	ELODIE
50380.6941	27359.078796	7.949186	ELODIE
50447.6526	27296.663378	7.067310	ELODIE
50477.5717	27304.656488	6.618586	ELODIE
50478.477	27325.656280	6.663066	ELODIE
50479.4619	27347.656053	6.621972	ELODIE
50533.4064	27216.743632	6.884338	ELODIE
50535.4471	27254.743162	6.678913	ELODIE
50559.345	27267.137659	6.979454	ELODIE
50561.321	27229.137204	6.934295	ELODIE
50732.6728	27339.697748	7.039933	ELODIE
50735.6859	27246.697054	8.672580	ELODIE
50766.6945	27226.789914	6.967527	ELODIE
50795.6295	27223.883251	7.814009	ELODIE
50821.5603	27303.777280	6.774394	ELODIE
50824.5615	27226.776589	6.876890	ELODIE
50858.4275	27287.968791	6.733000	ELODIE
50860.481	27350.968318	6.767375	ELODIE
50885.4374	27214.762571	6.832344	ELODIE
50890.5199	27348.761401	7.922865	ELODIE
50940.3384	27258.249930	6.940480	ELODIE
51152.6836	27292.101034	8.720638	ELODIE
51240.5511	27301.680801	6.977785	ELODIE
51300.3589	27340.467030	6.984973	ELODIE
51505.6846	27319.219750	7.694260	ELODIE
51543.5995	27164.611020	7.014532	ELODIE
51559.5868	27191.707338	6.811915	ELODIE
51561.5149	27246.706895	7.622722	ELODIE
51585.5014	27202.001371	13.15422	ELODIE
51588.437	27178.000695	7.276626	ELODIE
51623.3741	27315.392651	7.166276	ELODIE
51655.3197	27299.585295	7.289685	ELODIE
51691.3365	27178.977001	7.088500	ELODIE
51882.6941	27200.332938	6.966566	ELODIE
51883.6628	27234.332715	7.020871	ELODIE
51953.562	27135.416620	7.359004	ELODIE
51979.4519	27229.110658	7.132490	ELODIE
52252.678	27294.347744	8.562824	ELODIE
52722.4014	27303.839583	7.449769	ELODIE
52747.3695	27186.633834	6.787129	ELODIE
52748.3451	27215.633609	6.873633	ELODIE
52753.3701	27287.632452	7.036018	ELODIE
52774.3355	27173.627625	7.597872	ELODIE
52776.352	27200.627160	6.864669	ELODIE
52777.3871	27212.626922	6.880851	ELODIE
52778.3426	27259.626702	6.757956	ELODIE
52989.6545	27254.678044	8.809603	ELODIE
52993.619	27160.677131	7.591244	ELODIE
52995.6266	27179.676669	7.285554	ELODIE
52996.5736	27220.676451	7.471801	ELODIE
52997.5803	27230.676219	7.017095	ELODIE
53034.4559	27227.367728	8.311283	ELODIE
