JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51261.68057283014	-4446.723889	11.488774	C98
51271.64055661997	-4483.801573	4.001143	C98
51271.652581510134	-4473.732969	3.917035	C98
51302.57683438994	-4485.737464	4.235138	C98
51305.61117201997	-4508.571594	4.073152	C98
51335.47808519006	-4504.952790	7.473964	C98
51335.49015578022	-4500.943231	7.482067	C98
51481.86656568991	-4358.974972	7.898242	C98
51499.85665442003	-4381.782273	8.165441	C98
51548.765121229924	-4442.128225	4.120346	C98
51549.82315069996	-4448.615940	4.310688	C98
51569.83359833015	-4458.765868	4.200490	C98
51588.76645193016	-4482.579390	5.142684	C98
51612.752588860225	-4506.667381	5.475649	C98
51615.74932566006	-4498.512876	3.954014	C98
51616.71686930023	-4508.393926	4.848043	C98
51619.643101450056	-4507.107937	5.092910	C98
51620.644781580195	-4509.396255	6.346985	C98
51621.65118215978	-4503.937632	5.484273	C98
51622.673460320104	-4511.081470	6.378462	C98
51623.72123378003	-4500.253307	6.604151	C98
51624.68176259007	-4513.966360	6.067985	C98
51625.62591309985	-4520.325917	5.465749	C98
51626.65805706987	-4515.156615	4.910852	C98
51627.6266713799	-4483.528807	5.756851	C98
51628.6159547898	-4528.704285	4.416818	C98
51629.62679836014	-4516.638496	5.727727	C98
51630.60621793009	-4520.938175	4.940705	C98
51631.59305468993	-4518.824966	4.674495	C98
51632.59414862981	-4522.644591	4.009807	C98
51633.64852580009	-4522.660609	4.954720	C98
51640.67564316979	-4518.909014	4.737306	C98
51642.61303796992	-4529.091334	4.649841	C98
51646.68984861998	-4552.591698	5.043018	C98
51665.51723208977	-4546.006233	6.365658	C98
51687.546410209965	-4553.476664	3.711687	C98
51689.615785050206	-4556.842440	14.363268	C98
51696.48488168977	-4541.066543	17.227015	C98
51702.525293520186	-4570.989714	9.721669	C98
51750.46359039983	-4385.622430	10.976726	C98
51754.461637420114	-4350.796031	21.027581	C98
51758.457552730106	-4360.389638	21.949726	C98
51955.73610485019	-4515.810166	3.659743	C98
51963.74593714997	-4527.195996	2.950482	C98
