JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50837.816794	6.945440	1.587185	Hir94
51044.112257	14.651167	1.260833	Hir94
51051.050613	13.856260	1.273668	Hir94
51071.053345	9.663053	1.659525	Hir94
51172.826169	3.225607	1.344339	Hir94
51374.130822	13.242094	1.553907	Hir94
51412.080694	7.711569	1.369336	Hir94
51543.806458	6.647413	1.381080	Hir94
51552.790579	3.014829	1.556801	Hir94
51585.719826	-0.218363	1.455657	Hir94
51899.884178	-0.922228	1.331408	Hir94
52133.124387	-8.399775	1.561409	Hir94
52236.818299	-12.810740	1.442688	Hir94
52515.952801	-21.021464	1.435813	Hir94
52574.902396	-29.582735	1.454061	Hir94
52836.119502	-30.697672	1.446665	Hir94
52989.726655	-37.649553	1.346178	Hir94
53240.009352	-32.478589	1.103486	Hir04
53961.111979	-19.627076	0.874028	Hir04
53961.114086	-20.307059	0.897141	Hir04
54083.909109	-21.865770	1.152263	Hir04
54397.925880	-5.208760	1.075219	Hir04
54719.074410	-1.955218	1.140767	Hir04
54809.836887	2.230533	1.237168	Hir04
54838.921648	4.437729	1.205771	Hir04
54864.766498	2.418413	1.188755	Hir04
55015.104312	10.905896	1.209899	Hir04
55016.102402	9.692735	1.194593	Hir04
55017.107438	8.670248	1.163396	Hir04
55042.128799	12.385212	1.217549	Hir04
55044.137003	13.380351	1.157930	Hir04
55049.042122	13.062801	1.157428	Hir04
55077.138080	15.173193	1.095484	Hir04
55085.133475	12.450300	1.122579	Hir04
55109.999453	11.239165	1.432574	Hir04
55133.951263	9.877975	1.269435	Hir04
55134.911324	11.976232	1.271127	Hir04
55171.977290	12.337211	1.640606	Hir04
55188.896792	11.013743	1.249414	Hir04
55231.785011	8.394184	1.169539	Hir04
55261.751384	3.404138	1.121122	Hir04
55396.124558	15.122087	1.101630	Hir04
55413.130760	16.709361	1.100467	Hir04
55441.102398	16.319995	0.999102	Hir04
55523.012160	19.028008	1.201078	Hir04
55636.736584	18.343904	1.155279	Hir04
55790.121019	11.847604	1.090462	Hir04
55870.957747	9.172364	1.245105	Hir04
56114.109077	5.477714	1.193980	Hir04
56195.022458	6.749577	1.122548	Hir04
56519.074045	-2.614314	1.041023	Hir04
56588.955029	-8.371275	1.235110	Hir04
56637.753086	-7.109784	1.175830	Hir04
56639.850461	-8.835656	1.266503	Hir04
56640.871462	-5.514029	1.262826	Hir04
56675.779859	-11.268469	1.004617	Hir04
56866.117518	-12.777090	1.108403	Hir04
57237.130992	-21.709515	0.964328	Hir04
57414.827125	-32.623508	1.137836	Hir04
57622.002538	-30.074832	1.013365	Hir04
57765.873970	-35.135156	1.207011	Hir04
58150.759079	-24.080485	1.449321	Hir04
58345.068383	-21.727634	1.105428	Hir04
58491.790872	-19.826792	1.027791	Hir04
58743.947361	-14.177683	1.292610	Hir04
58794.837501	-7.836773	1.329945	Hir04
