JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50365.979236	-8.38	0.99	Hir94
50715.080012	-10.3	1.1	Hir94
50786.759306	-2.4	1.3	Hir94
50806.886343	-7.99	0.96	Hir94
51010.115556	0.6	1.0	Hir94
51012.085440	1.98	0.96	Hir94
51013.103947	0.3	1.1	Hir94
51014.105914	1.5	1.1	Hir94
51070.992361	-1.1	1.3	Hir94
51170.793657	1.6	1.1	Hir94
51374.123206	-2.9	1.0	Hir94
51412.084051	1.2	1.3	Hir94
51585.736539	13.9	1.1	Hir94
51757.136620	-7.6	1.0	Hir94
51883.801736	-0.8	1.4	Hir94
52098.097419	-13.3	1.1	Hir94
52134.022928	-18.4	1.2	Hir94
52162.926852	-8.6	1.3	Hir94
52188.010926	-8.6	1.2	Hir94
52218.947315	-15.4	1.2	Hir94
52235.761655	-8.3	1.2	Hir94
52489.047558	-15.2	1.0	Hir94
52516.010463	-18.1	1.2	Hir94
52535.910926	-5.2	1.3	Hir94
52572.946597	-8.5	1.4	Hir94
52600.927569	-11.4	1.4	Hir94
52651.762963	-9.4	1.1	Hir94
52833.093715	-3.3	1.2	Hir94
52834.127720	2.4	1.2	Hir94
52835.121528	-2.7	1.4	Hir94
52836.075405	-2.0	1.2	Hir94
52850.087384	-5.7	1.1	Hir94
52851.131667	-4.2	1.1	Hir94
52854.031620	-2.3	1.3	Hir94
52855.114792	-3.6	1.4	Hir94
52856.061181	-4.0	1.3	Hir94
52897.920671	-2.9	1.2	Hir94
52899.035324	-8.0	1.2	Hir94
52924.926863	2.3	1.3	Hir94
52926.058322	-1.8	1.3	Hir94
52987.739282	9.3	1.3	Hir94
52988.761852	4.3	1.3	Hir94
52989.781250	2.6	1.3	Hir94
53014.741567	-1.92	0.89	Hir94
53015.746271	-0.13	0.77	Hir94
53016.750147	3.64	0.78	Hir94
53017.764938	-2.33	0.78	Hir94
53072.716058	6.3	1.0	Hir94
53180.129491	5.8	1.1	Hir94
53181.124873	10.4	1.3	Hir94
53182.120243	4.7	1.1	Hir94
53190.128294	6.41	0.63	Hir94
53191.126546	6.63	0.75	Hir94
53196.114144	-5.8	1.3	Hir94
53197.125698	-8.68	0.86	Hir94
53207.117720	1.4	1.3	Hir94
53208.123322	5.8	1.2	Hir94
53238.075000	3.2	1.1	Hir94
53239.137743	4.8	1.1	Hir94
53239.983356	5.7	1.1	Hir94
53241.042195	7.23	0.72	Hir94
53301.800231	8.7	1.1	Hir04
53302.870058	10.1	1.1	Hir04
53303.894282	4.77	0.91	Hir04
53338.766794	12.06	0.97	Hir04
53339.911921	7.7	1.1	Hir04
53368.839549	4.56	0.83	Hir04
53369.761092	4.91	0.60	Hir04
53397.727720	2.11	0.88	Hir04
53398.748762	8.86	0.92	Hir04
53399.719965	9.10	0.84	Hir04
53400.722338	6.51	0.94	Hir04
53425.749826	3.87	0.90	Hir04
53426.711343	3.70	0.95	Hir04
53427.763414	4.5	1.0	Hir04
53551.131655	2.24	0.97	Hir04
53552.133299	-0.18	0.98	Hir04
53696.900440	-5.3	1.1	Hir04
53723.843958	-2.08	0.98	Hir04
53746.743533	3.83	0.52	Hir04
53747.803715	3.95	0.92	Hir04
53748.728171	0.82	0.88	Hir04
53749.734456	5.66	0.90	Hir04
53750.716424	2.96	0.98	Hir04
53751.696863	6.66	0.85	Hir04
53752.695995	4.37	0.92	Hir04
53753.694419	4.89	0.65	Hir04
53775.730961	-6.0	1.0	Hir04
53776.722211	-1.47	0.92	Hir04
53926.130564	-7.09	0.56	Hir04
53927.109433	-8.49	0.99	Hir04
53928.116435	-9.32	0.98	Hir04
53933.092130	-4.51	0.99	Hir04
53962.120150	-11.30	0.95	Hir04
53981.981065	-4.2	1.0	Hir04
53983.031655	-3.2	1.1	Hir04
53984.031319	-9.7	1.1	Hir04
53984.981215	-6.79	0.94	Hir04
54023.985822	-7.4	1.2	Hir04
54083.846400	-7.1	1.2	Hir04
54084.801794	-6.6	1.1	Hir04
54085.926840	-7.2	1.1	Hir04
54129.728727	-8.1	1.1	Hir04
54130.808565	-4.8	1.0	Hir04
54131.735139	-7.3	1.1	Hir04
54138.726123	-16.9	1.1	Hir04
54307.135394	-17.3	1.1	Hir04
54314.106944	-7.0	1.0	Hir04
54337.109931	-14.8	1.2	Hir04
54343.989815	-13.0	1.1	Hir04
54396.843993	-5.9	1.1	Hir04
54428.937162	-8.86	0.64	Hir04
54639.129965	-9.2	1.1	Hir04
54675.048241	-14.2	1.2	Hir04
54689.013530	-6.7	1.2	Hir04
54717.956979	-14.9	1.3	Hir04
54725.896910	-4.9	1.3	Hir04
54727.012153	-8.5	1.2	Hir04
54727.955961	0.7	1.1	Hir04
52939.19444718	-9266.25788027333	0.2884186889084	H03
53001.03966588	-9262.21898577962	0.4659397093381	H03
53033.02899225	-9260.36436894535	0.3691894953007	H03
53035.02736062	-9258.28140644401	0.2376060290737	H03
53288.23334047	-9254.3719333725	0.5659820381148	H03
53288.23439683	-9254.668565527822	0.5493367056692	H03
53288.235451	-9255.69844292893	0.6120312720247	H03
53288.23650632	-9255.1823207404	0.6079407543307	H03
53288.23756361	-9257.14704850502	0.5916495956543	H03
53288.23862055	-9257.433773707611	0.5915535636594	H03
53288.23972113	-9257.267480843071	0.5541366760568	H03
53288.24077761	-9257.19483898722	0.637566330094	H03
53288.24183432	-9256.161882173768	0.5498204391416	H03
53288.24289103	-9253.63462670815	0.5909280456295	H03
53369.10126491	-9248.88857388304	1.0702318144303	H03
53369.10231294	-9257.17913547515	0.904151703779	H03
53369.1033693	-9253.52337735075	0.8940127539292	H03
53369.10442184	-9254.65959697855	0.6410211688734	H03
53369.10548433	-9256.32884187594	0.6131893930461	H03
53369.10653815	-9261.32250298912	1.038638345654	H03
53369.10759485	-9255.639590823479	1.1090039979998	H03
53369.10871696	-9261.33798036391	0.5546143309553	H03
53369.10977807	-9257.311127896299	0.6012595539894	H03
53369.11083246	-9257.910427808341	0.603116769867	H03
53400.07260227	-9258.16628339794	0.5086691404565	H03
53400.07702065	-9253.67876681065	0.4971872641647	H03
53401.0469471	-9255.878737249579	0.3764415060479	H03
53403.0288706	-9259.93668703276	0.2538201309907	H03
53403.03388082	-9256.95675441189	0.2396184430032	H03
53404.05804656	-9256.119925431401	0.3361952665057	H03
53404.06117847	-9256.26897976001	0.3390343768223	H03
53404.0643091	-9256.62592040459	0.3534590167997	H03
53406.04608486	-9255.74888354487	0.2853750212487	H03
53406.0492273	-9259.39663435273	0.2786950769165	H03
53406.05236962	-9261.10577082944	0.2972403366782	H03
53408.01291215	-9255.574203065971	0.3049732868528	H03
53408.01709381	-9258.43407201949	0.3137939722422	H03
53409.00968634	-9258.83980302246	0.327196903118	H03
53409.01283399	-9261.10424624886	0.3041723613306	H03
53409.01598303	-9258.37911248972	0.2961055132145	H03
53410.03893441	-9258.601976606711	0.3156096089859	H03
53410.04259021	-9257.655709384411	0.3263087827624	H03
53410.04625805	-9258.88444010412	0.3314989896654	H03
53411.04098792	-9261.110332066499	0.4232262311555	H03
53411.0441262	-9260.32483052464	0.4476051538228	H03
53411.0472757	-9256.002817340861	0.4657527049095	H03
53726.02834686	-9268.516255589651	0.1886151304883	H03
53726.0333373	-9272.07480397718	0.1813304746675	H03
53729.0692535	-9267.4054113032	0.1732614616473	H03
53729.0742429	-9270.654581670931	0.1819181265321	H03
53760.03010057	-9262.85982344926	0.1991815587092	H03
53760.03570565	-9265.53652867303	0.2022017620809	H03
53787.01736628	-9264.688297222341	0.2602090904708	H03
53787.02511786	-9263.96292371669	0.2657174773124	H03
53946.37253908	-9270.19040907159	0.3435035925563	H03
53979.39361143	-9268.78604869931	0.4183935927573	H03
53979.3968374	-9269.75894322605	0.4041506046019	H03
53979.40002911	-9267.77832629067	0.3952389612839	H03
54080.12121476	-9273.823365225731	0.2283862226763	H03
54080.12573966	-9275.27988554289	0.2249013239065	H03
54082.14495491	-9275.31211013248	0.2093720306172	H03
54082.14948293	-9271.550489630361	0.2180598375623	H03
54114.04827128	-9274.18045092015	0.6339189065361	H03
54114.05241061	-9277.332639839751	0.7976913459184	H03
54296.42482949	-9280.25466137135	0.2189147733818	H03
54296.43004787	-9284.06793522563	0.2242449623979	H03
54341.37525255	-9276.43661694612	0.3434051253311	H03
54341.37839116	-9280.958927438769	0.3364661548299	H03
54341.38153094	-9282.30682939503	0.306129614027	H03
54342.30832097	-9279.06963035596	0.149800737444	H03
54344.3090313	-9274.75297410693	0.3168688099618	H03
54344.31112726	-9276.03101614542	0.3190837870225	H03
54344.31322288	-9278.16547547666	0.3097616867589	H03
54344.31531884	-9281.464298581479	0.3022204331903	H03
54344.31741723	-9281.33064335835	0.2931581833279	H03
54387.18635968	-9273.94772301171	0.2381194468568	H03
54387.19134829	-9276.34763985712	0.250208572825	H03
54393.22272555	-9274.18510310323	0.2352379312491	H03
54393.22771463	-9273.79034848291	0.245097485854	H03
54427.17247592	-9271.89361909028	0.1432714223342	H03
54739.2255107	-9265.73866761207	0.3587903078524	H03
54739.22933501	-9268.543742407739	0.4121622210088	H03
54739.23317077	-9267.451188693989	0.3662114473261	H03
54744.28497753	-9268.57576015694	0.1833598511598	H03
54744.29032554	-9269.148097644891	0.1848430303114	H03
54765.14490543	-9268.01916606084	0.3919373777016	H03
54765.14874548	-9263.67056187643	0.4098228817785	H03
54765.15259235	-9265.310425262109	0.4194933476283	H03
54767.14434249	-9262.75340195925	0.3033743512805	H03
54767.14818069	-9264.477784989771	0.3057078526708	H03
54767.15202108	-9265.81450668986	0.2945331585793	H03
55020.42653421	-9267.52239922043	0.2467101862685	H03
55020.42979944	-9262.46885955991	0.2452689335513	H03
55020.43305934	-9263.9885682998	0.265459956131	H03
55023.43315789	-9258.394454025041	0.3416577417695	H03
55023.43700543	-9265.97358851643	0.3289550377426	H03
55023.44084141	-9259.75656900619	0.3048527648482	H03
55036.4086071	-9258.464853899859	0.156386476816	H03
55037.38798165	-9260.630345685151	0.1224741025539	H03
55067.33517669	-9260.76429708541	0.1726911888978	H03
55073.31864173	-9256.677927753159	0.2907208565468	H03
55073.32132105	-9255.09493214623	0.3006047060012	H03
55073.32400349	-9252.04952108937	0.3003725020993	H03
55073.32668964	-9252.13699982043	0.2688457088421	H03
55076.34808931	-9257.656161309811	0.5095167159689	H03
55076.35099919	-9254.341411095851	0.4623566779377	H03
55076.35391533	-9256.08369498934	0.458068023355	H03
55076.35682694	-9258.020997273761	0.4917978017876	H03
55095.33091472	-9261.56458805915	0.29746967941	H03
55098.19878994	-9264.360795905739	0.1343656453858	H03
55106.21726477	-9256.8473842553	0.2690076846743	H03
55106.22283648	-9258.84739580372	0.2540203862771	H03
55108.30876089	-9256.909325528479	0.2505048209454	H03
55110.2039933	-9256.81464570901	0.1749700588292	H03
55113.20218853	-9257.47244253331	0.1979241185681	H03
55116.20971793	-9255.14668387194	0.1757029666702	H03
55134.24894875	-9262.85602664439	0.1889849440724	H03
55140.18398347	-9261.67793261089	0.1776660777646	H03
55140.18956086	-9259.07134459073	0.1754229297473	H03
55152.14868686	-9256.36838874726	0.2241081364496	H03
55152.15428705	-9252.50928128555	0.2329193595237	H03
55155.13517501	-9253.993715835692	0.3179052188431	H03
55155.13901515	-9257.45441833072	0.3027195663368	H03
55155.14284927	-9258.489847197101	0.3044540807453	H03
55158.12204459	-9255.85333358063	0.2301213971056	H03
55158.12761422	-9257.805866576558	0.2342476519877	H03
55160.14279047	-9257.04303688254	0.2517511960678	H03
55160.14837029	-9257.68695567117	0.2381952052148	H03
55228.04878706	-9255.640789831548	0.4403935920949	H03
55228.05146916	-9253.151606466441	0.4488074520829	H03
55228.0541486	-9253.260395776479	0.4634688091844	H03
55228.05684933	-9254.08463263327	0.4783845052542	H03
55375.42212656	-9257.70696031387	0.4768011494612	H03
55375.42504513	-9258.13408943095	0.459772292483	H03
55375.42796473	-9260.404730815	0.4496154263749	H03
55375.43087658	-9259.4456014811	0.4424035339575	H03
55404.3584382	-9266.525460002731	0.1763614513411	H03
55414.31165013	-9260.583263583048	0.1925530655527	H03
55769.39533646	-9270.43586276068	0.229256074594	H03
55769.40090474	-9273.41345306494	0.1976847714576	H03
55776.37748439	-9272.15825720957	0.2676189146881	H03
55776.3830545	-9273.89173709683	0.2605813691838	H03
55803.27725928	-9271.719667944011	0.1697624742664	H03
55814.29496838	-9270.704025260651	0.2841334818073	H03
55814.30019008	-9271.728574480001	0.2845810376358	H03
55845.22246432	-9273.2959003569	0.3580858299078	H03
55845.22805063	-9270.5086776086	0.4344847028576	H03
55873.12132429	-9267.16939321426	0.2209678763367	H03
55873.12690134	-9268.23869468585	0.2137695569525	H03
55900.14402502	-9269.65605719516	0.1549034021855	H03
56120.41553242	-9279.40305378775	0.2495400402711	H03
56157.41857983	-9282.26821146799	0.2773086792191	H03
56192.30072658	-9281.26007260516	0.3470211497196	H03
56192.30630655	-9282.83568719132	0.3135354744142	H03
56225.23995922	-9279.99383626266	0.1635930380425	H03
56251.11333075	-9272.80695288658	0.2565300668044	H03
56311.02937074	-9279.75060855214	0.2379153844213	H03
56519.35933201	-9270.960947100812	0.1543641656299	H03
56616.12982011	-9271.771652401529	0.2056352799585	H03
56916.32274589	-9264.91471867151	0.2286888323237	H03
56919.36050222	-9265.754791506999	0.2360255613398	H03
56927.23762858	-9260.36278614912	0.1899486793584	H03
56928.29201958	-9258.00812823205	0.165477972123	H03
56944.30803759	-9262.79222712418	0.5870051650173	H03
56950.31946241	-9262.530867405729	0.2142432288154	H03
56990.06740167	-9267.36930977223	0.2696779865303	H03
56993.06859601	-9261.20818051588	0.2805402213551	H03
56993.07418272	-9262.94694110963	0.2588097422308	H03
57022.04926323	-9262.37323199993	0.1648878438079	H03
57034.04430578	-9261.89208829244	0.1583767908812	H03
57037.04115576	-9259.524336272021	0.1827730786206	H03
57300.24523275	-9237.74794520269	0.161396958365	H15
57366.1943151	-9244.82815885333	0.2375026363817	H15
57366.19988219	-9242.14023107179	0.2348711102132	H15
57371.10510909	-9246.594519059929	0.164171971308	H15
57396.0926081	-9240.29163850701	0.1466059797273	H15
57399.08662134	-9241.480197013401	0.1640666548302	H15
57427.02176007	-9240.83168513579	0.1954964952137	H15
57429.0227232	-9239.38910490612	0.1360851810387	H15
57642.24382655	-9252.8037553697	0.2568348867218	H15
57642.24893042	-9250.19948322619	0.2608522594786	H15
57660.32254429	-9246.30875252861	0.1774547861384	H15
57662.34195081	-9245.54157389684	0.1632485023172	H15
57691.22494039	-9244.81450049712	0.1640145936444	H15
57695.21115567	-9246.283244481001	0.2030432727754	H15
57719.15600606	-9252.90366172927	0.1859527506727	H15
57734.1545493	-9248.48437187976	0.1673152547742	H15
57943.37091115	-9259.96510352104	0.1854321791289	H15
57954.43727634	-9253.61906545956	0.6216407469151	H15
57954.4423816	-9259.10229129063	0.5082400172645	H15
57967.33351581	-9253.52057865468	0.3320013809268	H15
57972.32218334	-9261.57622273414	0.2103599174614	H15
57996.33368773	-9254.23300611195	0.2603202892004	H15
58018.34686148	-9263.49000926019	0.174102897545	H15
