JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51296.792508520186	-17219.948328	3.287291	C98
51305.89168639993	-17207.889134	3.188487	C98
51365.6634357702	-17157.546877	2.932860	C98
51380.71470473008	-17132.360944	3.540836	C98
51383.674450569786	-17146.545925	3.007957	C98
51383.682737269904	-17148.086302	3.043071	C98
51389.490667920094	-17138.153872	4.995211	C98
51394.57593005989	-17148.119646	3.235720	C98
51401.69137331983	-17132.452929	3.626603	C98
51404.63377839001	-17116.044470	4.627061	C98
51439.511725009885	-17180.520711	4.375108	C98
51444.539557890035	-17177.136856	4.345392	C98
51450.528275279794	-17212.756987	3.566124	C98
51459.486006920226	-17233.999756	5.153824	C98
51464.50046373997	-17260.496147	4.094411	C98
51480.52029349003	-17303.208176	6.131118	C98
51484.505177409854	-17287.212354	5.474392	C98
51487.508163089864	-17303.227010	4.927703	C98
51492.519779810216	-17301.364502	6.639786	C98
51586.88029792998	-17171.855149	3.921799	C98
51620.914288660046	-17152.869177	3.691344	C98
51625.91636579996	-17144.633467	3.657371	C98
51628.9078651201	-17152.154660	3.527044	C98
51631.914551460184	-17159.044566	3.246382	C98
51632.89603738999	-17162.487939	3.015851	C98
51633.910257960204	-17159.600815	3.460392	C98
51634.90081867017	-17164.671089	4.546635	C98
51635.87588004023	-17170.285507	3.854401	C98
51638.88808547007	-17180.359708	3.268579	C98
51640.8870420102	-17170.590319	3.148914	C98
51642.89936662	-17166.993709	3.210324	C98
51645.89441080019	-17178.356789	3.273651	C98
51667.87840751978	-17217.695747	4.984981	C98
51689.816839249805	-17288.221581	8.572550	C98
51692.841469530016	-17278.080523	7.852112	C98
51693.84892434999	-17301.889644	4.208113	C98
51698.83567621978	-17333.309140	5.377922	C98
51699.67914596014	-17318.511130	5.171360	C98
51699.69771147007	-17317.934481	4.743161	C98
51700.74920842005	-17322.966816	4.109413	C98
51701.8287023101	-17324.455378	4.813207	C98
51702.698789380025	-17324.025975	4.315646	C98
51748.72293634992	-17241.224794	5.320186	C98
51749.659483119845	-17269.316252	3.202142	C98
51750.61926830979	-17262.217634	4.387776	C98
51751.74205402983	-17271.344558	3.872519	C98
51752.60125068994	-17267.404276	4.935010	C98
51774.63988708006	-17203.952845	4.353503	C98
51777.62276137015	-17235.705205	4.561560	C98
51780.57789734006	-17225.370541	6.931272	C98
51782.65488032997	-17203.264993	6.296051	C98
51783.54914628016	-17212.244840	6.714630	C98
51784.57922181999	-17209.695638	7.366949	C98
51785.560238129925	-17199.291798	4.155556	C98
51792.59567228984	-17199.586892	5.611378	C98
51802.57677784981	-17204.781511	5.516437	C98
51805.62261886988	-17171.059052	9.487384	C98
51814.50464343978	-17193.577969	2.795300	C98
51838.50575762009	-17191.977780	5.103760	C98
51987.882477330044	-17263.052829	3.488833	C98
51988.90477686003	-17259.448078	3.560511	C98
51993.88438883005	-17250.316293	4.021162	C98
51994.87988085998	-17245.570829	3.745494	C98
51995.87856766023	-17241.650921	3.869429	C98
51996.89462882979	-17258.071805	3.872545	C98
51997.88620836986	-17246.332883	3.281420	C98
52000.812805010006	-17235.114187	4.227989	C98
52005.893776960205	-17228.242710	4.452355	C98
52045.891580630094	-17206.019105	6.083766	C98
52046.77674129	-17210.441560	4.209445	C98
52051.77656666003	-17201.209332	5.364967	C98
52055.74395636981	-17191.883925	10.90570	C98
52072.77660170989	-17201.016982	3.040488	C98
52073.78134858003	-17197.504889	3.313959	C98
52074.78858231986	-17194.103931	3.328437	C98
52078.799734449945	-17183.981296	5.224308	C98
52079.74950549984	-17200.004058	4.414354	C98
52080.81398714986	-17209.899397	3.552304	C98
52081.77752836002	-17200.221560	2.449665	C98
52091.674359649885	-17205.791292	3.332785	C98
52101.6934704599	-17206.866424	4.257247	C98
52101.73109696014	-17218.668384	9.291760	C98
52131.66811147984	-17297.960022	3.139919	C98
52133.74941988988	-17300.573569	9.405958	C98
52135.71090510022	-17302.412441	5.308232	C98
52137.57938324986	-17303.635052	2.890812	C98
52140.70518214023	-17321.198193	4.063033	C98
52143.67215210013	-17329.232324	2.836207	C98
52161.579227920156	-17373.002955	3.239840	C98
52164.54832509998	-17366.366878	4.999866	C98
52189.53330883989	-17314.721923	2.838489	C98
52406.885615060106	-17339.973083	2.782674	C98
52435.740199100226	-17268.790068	3.058264	C98
52460.729837750085	-17227.568286	2.450549	C98
52466.712828820106	-17226.423974	3.811985	C98
52488.64558740007	-17184.085305	3.211169	C98
52491.56077024015	-17185.682720	3.070001	C98
52495.60186624993	-17181.885111	2.569340	C98
52496.583759179804	-17192.132153	3.085269	C98
52544.53564711986	-17179.156662	3.257718	C98
52712.89135118015	-17130.946352	3.722059	C98
52784.863810869865	-17126.956802	4.518741	C98
52787.7106228699	-17143.815675	3.332365	C98
52797.721965120174	-17168.928945	4.013538	C98
52797.812813110184	-17159.787175	3.061262	C98
52802.80391152995	-17163.732798	11.45593	C98
51755.87151	-33.010000	1.780000	Hir94
52007.09566	-3.660000	2.000000	Hir94
52095.95198	9.210000	2.320000	Hir94
52160.79572	-139.840000	1.950000	Hir94
52161.75461	-140.650000	1.760000	Hir94
52391.09774	-136.590000	2.100000	Hir94
52488.866	28.640000	2.160000	Hir94
52574.70289	-5.900000	1.910000	Hir94
52778.03201	90.780000	2.120000	Hir94
52834.89358	-50.000000	2.320000	Hir94
53154.02885	67.930000	1.950000	Hir94
53240.85056	50.260000	1.830000	Hir94
53546.87042	-63.7	1.82	Hir04
53838.12762	10.93	2.07	Hir04
53926.90686	-28.83	1.79	Hir04
53984.72093	-113.26	1.65	Hir04
54294.9715	20.06	2.01	Hir04
54314.93241	54.4	1.87	Hir04
54335.77193	43.12	1.86	Hir04
54343.75772	40.68	1.92	Hir04
54636.02998	-41.28	2.1	Hir04
54639.93955	-50.24	2.06	Hir04
54984.07446	86.76	2.13	Hir04
55023.93302	73.15	1.9	Hir04
55135.74112	-19.08	2.08	Hir04
55351.0983	-56.1	1.93	Hir04
55380.88251	-9.68	1.91	Hir04
55399.90179	17.4	2.05	Hir04
55490.7386	7.39	1.81	Hir04
55636.13206	8.08	2.05	Hir04
55704.10461	10.25	2.14	Hir04
55725.96124	-134.48	10.12	Hir04
55726.9552	-13.83	2.05	Hir04
55793.72303	-106.25	2.02	Hir04
55839.73035	-24.46	1.79	Hir04
56019.1378	-98.6	2.19	Hir04
56020.15103	-106.07	2.03	Hir04
56103.95013	30.3	1.96	Hir04
56103.95094	22.28	2.23	Hir04
56103.95178	26.14	2.17	Hir04
56134.9479	46.25	2.03	Hir04
56134.94866	47.58	2.25	Hir04
56134.94939	49.66	2.06	Hir04
56145.8133	45.83	2.41	Hir04
56145.81396	46.3	2.02	Hir04
56145.81465	48.3	1.88	Hir04
56148.75843	42.54	2.22	Hir04
56148.75927	47.16	2.16	Hir04
56148.76021	50.11	2.2	Hir04
56166.71838	21.77	1.98	Hir04
56166.71906	20.91	1.87	Hir04
56166.71976	16.86	1.84	Hir04
56175.75322	12.57	1.93	Hir04
56175.75434	14.68	1.73	Hir04
56175.75544	16.64	1.94	Hir04
56179.71109	0.31	1.91	Hir04
56179.71183	0.0	1.65	Hir04
56179.71253	-3.06	1.85	Hir04
56195.74613	-44.04	1.94	Hir04
56195.74682	-42.85	1.92	Hir04
56195.74752	-48.65	1.98	Hir04
56207.69293	-94.77	1.78	Hir04
56207.694	-87.79	1.82	Hir04
56207.69488	-90.38	1.7	Hir04
56525.72377	88.02	2.12	Hir04
56584.69988	125.59	1.82	Hir04
56880.762	-40.21	2.14	Hir04
56880.76271	-39.23	2.25	Hir04
56880.76344	-40.28	2.23	Hir04
56892.74346	-69.37	1.9	Hir04
56892.74415	-68.53	1.76	Hir04
56892.74484	-69.77	2.02	Hir04
56910.81553	-73.97	1.9	Hir04
56910.81649	-72.49	2.02	Hir04
56910.81745	-73.77	1.77	Hir04
53201.18092315	-17101.456600206402	0.5799242473349	H03
53201.18475072	-17102.932238677302	0.7143458501168	H03
53201.18857342	-17103.0936247613	0.7845928901064	H03
53202.15515871	-17102.8806826209	0.4751896167411	H03
53202.15898801	-17102.9566398824	0.4885841936372	H03
53202.16282021	-17105.2377855059	0.5633883489855	H03
53203.17448725	-17114.2220688606	0.5923040104573	H03
53203.17658391	-17112.249400327102	0.6549015996005	H03
53203.17867838	-17111.1637203409	0.5929956080299	H03
53203.18077134	-17112.7712211088	0.5864113444342	H03
53203.18285747	-17115.3021000955	0.5983598367965	H03
53204.17730278	-17100.226650362	0.5712202716918	H03
53204.17905289	-17105.7001459627	0.6294534302718	H03
53204.18079793	-17100.6696020778	0.5503934697417	H03
53204.18254585	-17104.5247236034	0.608584811351	H03
53204.1842983	-17104.0281786936	0.555900910994	H03
53205.08036717	-17109.1355246292	0.7573350461322	H03
53205.08212505	-17110.0636437425	0.8127924339707	H03
53205.08387113	-17113.279264845598	0.7553918430224	H03
53205.08560748	-17107.4557908135	0.7515034438309	H03
53205.0873583	-17099.4528921647	0.5853466059784	H03
53206.16266628	-17108.4243289931	0.5345394650034	H03
53206.16533754	-17104.499834243503	0.4405266983046	H03
53206.16800579	-17104.1391899735	0.4218704390163	H03
53206.17068041	-17103.690464808	0.3984952755657	H03
53216.3080516	-17112.0909379796	0.6879596011936	H03
53216.31071962	-17113.1006326922	0.6988940352599	H03
53216.3133962	-17111.098858880698	0.7049759657767	H03
53216.3160729	-17110.895023635698	0.7382055903071	H03
53217.12558263	-17111.1723742301	0.6304771346418	H03
53217.12825238	-17112.6158611312	0.5872003524294	H03
53217.13092399	-17110.2857022389	0.5902783586134	H03
53217.13359999	-17112.103723960397	0.6045885392735	H03
53218.13466408	-17110.1069659826	0.6727185848028	H03
53218.13733372	-17112.7313240682	0.5992277586945	H03
53218.14000428	-17111.1720729308	0.5635786487319	H03
53218.14267149	-17111.272874151302	0.5080976150109	H03
53230.14928948	-17127.1346832826	0.417514998674	H03
53230.15196814	-17127.985583161302	0.4529124536348	H03
53230.15465387	-17126.3904081285	0.4416229470662	H03
53230.15733971	-17125.02707288	0.478950377543	H03
53232.08703411	-17126.356371183298	0.7125386868957	H03
53232.08970005	-17124.7003282701	0.7549527892299	H03
53232.09236899	-17122.5382968912	0.7887216097996	H03
53232.09503446	-17123.586786303	0.7896891017129	H03
53237.08473578	-17133.4981746503	1.0189954965639	H03
53237.08741491	-17134.6558198583	1.0002517505264	H03
53237.09010376	-17133.9849192944	0.8986342568023	H03
53237.09278752	-17131.9650288658	0.8720730391454	H03
53263.06022006	-17214.2781718677	0.2412814895605	H03
53263.06578643	-17214.913972882	0.2469682031741	H03
53264.0355833	-17218.2646258079	0.2691248333153	H03
53264.04115522	-17216.5803768115	0.270836576094	H03
53265.04191607	-17221.8640225456	0.2923785335744	H03
53265.04578701	-17223.6084954173	0.3074818751532	H03
53265.04962381	-17224.0700110189	0.3131124497669	H03
53266.02362697	-17229.677640869402	0.3860201572437	H03
53266.02747025	-17226.7010940868	0.3852687152066	H03
53266.03132348	-17228.8291518546	0.3948401891341	H03
53267.03498814	-17228.5536201919	0.3267820812869	H03
53267.0388298	-17231.3983209007	0.3612173719024	H03
53267.04266486	-17229.6661562702	0.3397815897144	H03
53268.03581347	-17237.6573157653	0.3244184592437	H03
53268.03964494	-17237.872327253	0.3289143461323	H03
53268.0434734	-17238.5680908639	0.3375740615121	H03
53269.04794984	-17236.296757667802	0.7513350542867	H03
53269.05177969	-17237.9855154166	0.7062220576048	H03
53269.05563941	-17238.058947399502	0.67821623945	H03
53271.0231124	-17245.607801580998	0.5447582704569	H03
53271.02695904	-17244.495409577597	0.4933109878413	H03
53271.03079687	-17244.4941658869	0.4834582583287	H03
53272.01245627	-17246.754496323698	0.4818985121976	H03
53272.0162985	-17250.0367597354	0.5206949721209	H03
53272.02012835	-17247.7541994075	0.4829482268869	H03
53273.00539464	-17249.800686179402	0.3164390727245	H03
53273.00922646	-17252.120065926898	0.3364352808088	H03
53273.01305573	-17248.9200578748	0.3473827452348	H03
55102.07191001	-17269.0600056824	0.402734751417	H03
55102.07748427	-17270.6346521165	0.3735028519699	H03
55110.02914582	-17254.6676076013	0.3279502640018	H03
55110.03472413	-17252.5095412919	0.3288920044374	H03
55121.03639951	-17233.9875722708	0.5985560912904	H03
55121.03885381	-17234.263622687202	0.5548575315826	H03
55121.04130776	-17229.0137688959	0.5824658432118	H03
55121.04375616	-17231.1141468532	0.5657661952242	H03
55121.04620583	-17230.871468398997	0.5719251255361	H03
