JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
54930.007586	-2.102040	1.380700	Hir04
54954.910839	-0.068117	1.273666	Hir04
54963.850046	9.319258	1.396566	Hir04
54983.830470	14.196638	1.609122	Hir04
54984.919107	7.872880	1.403422	Hir04
54985.814370	12.374570	1.333008	Hir04
54986.848996	11.696359	1.316635	Hir04
54987.819496	12.349448	1.316389	Hir04
54988.833986	12.267250	1.110032	Hir04
55014.743231	20.409440	1.318698	Hir04
55015.737510	21.805689	1.203627	Hir04
55016.799505	18.536829	1.286533	Hir04
55134.153161	47.650062	1.247505	Hir04
55135.146724	53.227789	1.178992	Hir04
55136.133389	39.925249	1.768488	Hir04
55136.145196	50.682168	1.142366	Hir04
55164.145761	49.042309	1.123101	Hir04
55173.165583	49.547589	1.169420	Hir04
55231.100021	62.032639	1.323140	Hir04
55285.944399	53.068882	1.389475	Hir04
55289.987620	52.510239	1.104776	Hir04
55314.821751	46.393528	1.346399	Hir04
55339.822480	47.507798	1.143083	Hir04
55339.823244	43.961813	1.165324	Hir04
55339.824054	43.839136	1.155694	Hir04
55339.824899	43.754734	1.111874	Hir04
55339.825802	45.435195	1.046382	Hir04
55350.733807	36.484713	1.159197	Hir04
55378.733567	36.225927	1.227569	Hir04
55403.729722	27.329641	1.339107	Hir04
55522.160336	-7.041685	1.105794	Hir04
55522.160961	-3.088508	1.240399	Hir04
55522.161563	-3.130870	1.189476	Hir04
55545.176073	-14.290640	1.109033	Hir04
55635.989528	-36.328488	1.199018	Hir04
55635.990118	-33.633657	1.261764	Hir04
55635.990709	-29.750449	1.202627	Hir04
55722.748089	-54.892423	1.464253	Hir04
55723.738393	-50.258115	1.295959	Hir04
55728.741178	-54.135235	1.494867	Hir04
55871.150493	-48.022225	1.260250	Hir04
55871.151789	-44.872008	1.282234	Hir04
55871.153028	-48.637849	1.324951	Hir04
55879.158608	-52.213884	1.153126	Hir04
55902.166997	-44.235716	1.064961	Hir04
55902.167599	-41.935289	1.151294	Hir04
