JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50863.135671	-6.359197	1.373232	Hir94
50955.903542	-24.946874	1.363995	Hir94
50982.825000	-19.284551	1.468198	Hir94
51229.129815	-10.234914	1.353884	Hir94
51340.850579	-16.535054	1.645231	Hir94
51369.796806	-8.638517	1.377991	Hir94
51581.166817	-9.868268	1.438384	Hir94
51704.922060	-7.457593	1.526290	Hir94
52003.962755	-6.736966	1.505893	Hir94
52007.005208	-3.510328	1.501796	Hir94
52007.987060	-2.495916	1.432384	Hir94
52009.058750	-4.123105	1.557283	Hir94
52100.874248	-1.411344	1.438323	Hir94
52127.815775	-0.134954	1.563281	Hir94
52363.108958	5.869433	1.617045	Hir94
52712.061285	13.124720	1.608951	Hir94
52806.903194	-2.905469	1.686268	Hir94
52833.792407	1.840075	1.689483	Hir94
52848.792396	0.924868	1.539394	Hir94
53074.015671	14.896014	1.572297	Hir94
53180.885706	5.538844	1.540761	Hir94
53181.837407	7.457278	1.422132	Hir94
53195.841748	-2.164182	1.474487	Hir94
53426.153530	6.308936	1.284463	Hir04
53934.795625	9.305572	1.103372	Hir04
55615.094361	-22.498817	2.109264	Hir04
55615.102094	-14.968925	2.016659	Hir04
55673.914315	-13.926399	1.553781	Hir04
55794.750645	-8.094550	1.855435	Hir04
56192.703721	-3.524710	1.564651	Hir04
56194.702159	-2.537679	1.495849	Hir04
56328.149107	-3.995255	1.612816	Hir04
57971.733247	16.283127	1.390932	Hir04
58645.767441	7.249276	1.622799	Hir04
58646.801649	8.583586	1.654220	Hir04
58647.836887	4.187221	1.591962	Hir04
58659.794293	12.902581	1.843140	Hir04
58660.788639	18.044947	1.881980	Hir04
58679.787960	5.140025	1.665938	Hir04
58709.751425	-4.272925	1.765230	Hir04
58713.745375	-13.061355	1.670977	Hir04
58714.728928	-3.567284	1.659609	Hir04
58715.726080	-5.581552	1.573456	Hir04
58722.724033	0.034604	1.597327	Hir04
58723.726013	-4.381419	1.548489	Hir04
58739.718893	-3.452999	1.871482	Hir04
58765.725066	-6.021810	1.928341	Hir04
58774.691139	-8.851966	2.016683	Hir04
58853.176710	-6.110384	1.746598	Hir04
58881.171651	-0.391476	1.518956	Hir04
58885.045633	0.810933	1.551104	Hir04
58917.991870	3.049472	1.433647	Hir04
58919.005738	1.260695	1.851829	Hir04
