JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51694.89113755012	-46729.986597	5.105698	C98
51749.717530969996	-46741.114255	4.428070	C98
51759.681682699826	-46735.674031	5.195601	C98
51782.665519900154	-46712.653020	8.112716	C98
51810.62482657004	-46728.939661	5.052354	C98
53261.62002786016	-46689.420542	4.257077	C98
53264.598638319876	-46692.695809	3.994590	C98
53269.532506870106	-46699.867516	11.960235	C98
53543.7479732302	-46675.470207	3.634300	C98
53587.70238581998	-46692.376162	5.104175	C98
53630.56459290022	-46665.859589	4.127706	C98
53905.82011853019	-46661.664461	6.612797	C98
54004.58889285009	-46669.576536	8.168931	C98
54030.58097977005	-46655.559344	9.383377	C98
54038.56989726005	-46677.936518	7.506691	C98
54284.67857878981	-46657.520661	3.549193	C07
54290.745265219826	-46638.939618	4.701801	C07
54293.75363251008	-46655.246737	3.445554	C07
54351.57054845011	-46645.502838	4.184035	C07
54943.91864268994	-46652.679700	3.304150	C07
54984.76288146991	-46647.967868	5.495913	C07
55099.53432834009	-46636.314375	3.424833	C07
55378.76117026014	-46633.288464	2.969571	C07
55380.605449290015	-46624.140057	3.699752	C07
55669.90680705011	-46618.718315	3.204924	C07
55709.88144790009	-46627.876881	4.006601	C07
55843.52631236985	-46605.288812	4.228462	C07
56040.87944612	-46591.458957	11.155713	C07
56110.67057021987	-46600.759984	3.923011	C07
56214.51263060002	-46567.583861	9.322297	C07
56438.85667522019	-46594.409003	3.892916	C07
56492.7094074199	-46582.562076	5.077648	C07
56794.93081567017	-46570.117840	3.026060	C07
56799.810676210094	-46560.182154	3.752320	C07
56845.59425526997	-46557.207707	4.327804	C07
57202.64465186	-46528.806100	4.307885	C14
57263.62688422995	-46529.373801	4.966489	C14
57321.5048169801	-46532.959162	4.799606	C14
57619.679548379965	-46612.755831	6.926515	C14
57664.53905620985	-46662.533374	3.116427	C14
57667.49594805017	-46666.937788	2.804702	C14
57672.52498662984	-46665.473146	2.964856	C14
57673.51824665023	-46667.040520	4.317794	C14
57675.53094465006	-46670.061577	3.153090	C14
57688.503376880195	-46670.562509	2.910162	C14
57713.52036496997	-46703.694270	4.189284	C14
57857.87147573987	-46777.747655	3.337089	C14
57893.85109360982	-46780.036250	3.137466	C14
57903.81699575996	-46782.139804	3.347042	C14
57905.66990124993	-46778.558338	3.363936	C14
57923.76912888978	-46780.866226	3.377044	C14
57924.780472999904	-46782.034616	3.263412	C14
57935.588331419975	-46778.395396	3.484032	C14
57935.873660650104	-46784.409183	3.741523	C14
57937.66791458987	-46786.859325	3.373497	C14
57951.74406635016	-46778.697954	6.779853	C14
57958.78346375981	-46787.795063	4.016643	C14
57964.55961292004	-46775.031493	3.585163	C14
57965.628308970015	-46785.544459	4.155027	C14
57966.55744743021	-46789.803880	5.534781	C14
57967.61496001994	-46783.408000	3.380993	C14
57969.62908094004	-46781.174514	3.370538	C14
57973.66078827996	-46778.177040	3.143293	C14
57975.603424480185	-46792.093082	5.211062	C14
57981.501308689825	-46786.614289	3.252622	C14
57982.61594806984	-46775.243815	3.201435	C14
58003.67307210015	-46787.236995	5.206577	C14
58010.662336559966	-46776.960310	7.942896	C14
58027.60815007985	-46770.827068	7.795237	C14
58028.583647610154	-46772.309152	8.034641	C14
58040.51986801019	-46776.630091	4.652066	C14
58047.49565012008	-46770.151006	5.172037	C14
58054.5268426002	-46782.864717	6.612305	C14
58067.506557229906	-46780.657807	4.800127	C14
58213.8863213202	-46763.269906	3.229725	C14
58224.900590740144	-46750.672488	3.616208	C14
58275.84279013006	-46770.512780	5.911253	C14
58277.72578532994	-46755.772844	5.419004	C14
58288.71333990991	-46765.297765	4.839619	C14
58307.7411493198	-46758.837396	3.142268	C14
58308.63742838986	-46765.865058	3.602812	C14
58310.7254001298	-46757.505826	3.460352	C14
58366.618065639865	-46755.766020	4.713333	C14
58367.567344290204	-46746.893444	4.488796	C14
58372.64104710985	-46762.498386	5.115965	C14
58382.58076811023	-46749.490001	4.925759	C14
58387.521463130135	-46755.706757	7.956049	C14
58394.58608738007	-46759.060376	5.253352	C14
58398.49679974979	-46751.066101	4.380091	C14
58401.58321401011	-46752.114990	3.989912	C14
58410.54723958997	-46752.518493	3.378488	C14
58411.52796653006	-46749.693574	3.607487	C14
58419.500422180165	-46748.171320	3.439940	C14
58565.86703540012	-46747.982471	5.221051	C14
51342.017894	-30.430113	1.056203	Hir94
51368.851204	-27.874365	1.106769	Hir94
51409.909144	-29.327566	1.198394	Hir94
51439.773947	-21.071020	1.205879	Hir94
51705.046817	-10.902532	0.985853	Hir94
51792.774734	-9.193594	1.071566	Hir94
52061.968345	9.012972	1.245503	Hir94
52062.969363	-4.116545	1.240532	Hir94
52100.977407	6.410837	1.170289	Hir94
52162.862870	4.756251	1.295618	Hir94
52445.959178	11.110323	1.413536	Hir94
52515.764769	22.974436	1.582422	Hir94
52515.852697	10.182398	1.277437	Hir94
52778.081748	21.324274	1.249055	Hir94
52835.019502	21.245150	1.370685	Hir94
53154.059803	33.603060	1.163428	Hir94
53239.930764	34.919290	0.901201	Hir04
53546.946123	42.267647	1.081198	Hir04
54023.723565	51.661345	1.061287	Hir04
55851.717464	105.908496	0.971031	Hir04
56891.797388	145.995382	0.919805	Hir04
58391.728712	-57.992874	1.320816	Hir04
58709.790486	-36.068418	1.283537	Hir04
58713.776064	-43.342887	1.116422	Hir04
58714.748729	-35.595499	1.077442	Hir04
58715.754725	-41.788371	1.090350	Hir04
58719.944564	-35.158193	0.963675	Hir04
58722.770156	-36.686960	1.061499	Hir04
58723.742221	-40.601534	1.092504	Hir04
58794.728563	-30.781809	1.372779	Hir04
58819.676191	-28.644801	1.295100	Hir04
