JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
52832.928345	-420.226910	1.084212	Hir94
53074.088275	-175.585034	1.301886	Hir94
53238.794352	-448.996530	0.850093	Hir04
53478.989792	-168.467490	0.909819	Hir04
53934.855706	488.319895	0.873581	Hir04
53981.781366	93.687012	0.819542	Hir04
53982.898611	83.346606	0.846708	Hir04
53983.823021	78.400560	0.846166	Hir04
53984.910972	72.644450	0.829758	Hir04
55016.038796	413.073490	0.986950	Hir04
55019.027378	382.550492	1.163181	Hir04
55041.933362	196.632004	1.091943	Hir04
55044.951075	175.519048	1.092158	Hir04
55048.870400	147.836160	1.228722	Hir04
55075.747861	-35.139041	0.879541	Hir04
55111.747148	-398.981686	1.081248	Hir04
55134.694957	550.242417	1.083025	Hir04
55135.698246	546.819563	0.984729	Hir04
55163.683996	280.058895	1.222010	Hir04
55172.689003	214.741183	1.403551	Hir04
55229.145181	-209.202964	1.196823	Hir04
55232.170304	-242.279428	1.180213	Hir04
55256.163783	-358.541538	1.144295	Hir04
55261.083079	261.337338	1.042976	Hir04
55285.050082	377.331562	1.075157	Hir04
55286.055942	369.499273	1.157428	Hir04
55290.076544	331.962429	0.964044	Hir04
55312.961684	157.926728	0.899539	Hir04
55313.904449	153.404057	0.965016	Hir04
55320.043996	102.549280	0.970244	Hir04
55320.964016	97.954215	0.949136	Hir04
55321.923134	91.135405	0.936137	Hir04
55342.918303	-53.958407	0.863640	Hir04
55351.860106	-123.480814	0.834581	Hir04
55372.848796	-334.983183	0.908800	Hir04
55380.817366	-449.561238	0.932457	Hir04
55395.987503	383.107031	1.091579	Hir04
55396.878559	445.903080	1.051629	Hir04
55399.953493	520.730054	1.032215	Hir04
55400.797674	528.803156	1.029118	Hir04
55406.771364	497.447789	0.957223	Hir04
55427.736002	278.081305	0.995832	Hir04
55455.749893	75.367126	0.941737	Hir04
55465.716002	4.505994	0.871645	Hir04
55486.776290	-154.007397	0.951840	Hir04
55521.709241	-463.809651	1.064569	Hir04
55526.686111	67.418547	1.177787	Hir04
55606.173722	-73.983391	1.157537	Hir04
55613.139907	-128.379393	1.180403	Hir04
55614.179615	-135.469662	1.091526	Hir04
55634.085838	-319.992922	1.056799	Hir04
55637.083251	-352.985634	1.119494	Hir04
55665.069697	446.608344	0.872969	Hir04
55671.967801	455.393494	0.885033	Hir04
55699.866139	181.025927	0.903130	Hir04
55721.045794	23.602222	0.904357	Hir04
55728.913751	-34.934684	0.968286	Hir04
55769.754894	-381.874194	1.032342	Hir04
55782.816038	-555.811785	0.991625	Hir04
55840.788285	88.143191	0.868960	Hir04
55850.730006	15.016311	0.911673	Hir04
55961.135705	156.037959	1.183449	Hir04
55971.134680	70.784373	1.046699	Hir04
55972.132050	64.912786	1.004683	Hir04
55995.156321	-95.989153	1.083786	Hir04
56025.077167	-329.294786	1.101604	Hir04
56027.048663	-350.355768	0.959827	Hir04
56076.848455	294.391770	0.915234	Hir04
56097.781416	90.154150	1.021500	Hir04
56116.948445	-51.930627	0.885022	Hir04
56164.739546	-424.660586	0.967187	Hir04
56320.166799	-690.131520	1.200523	Hir04
56329.161231	130.437708	1.047149	Hir04
56432.876635	-469.593095	0.853301	Hir04
56446.842427	-651.002369	0.880131	Hir04
56468.900668	312.884467	1.138775	Hir04
56473.803365	275.077535	1.024992	Hir04
56485.753247	151.860094	1.022467	Hir04
56548.845244	-315.797528	0.798216	Hir04
56551.714487	-339.694573	0.853832	Hir04
56585.710456	-708.439055	1.123601	Hir04
56710.115184	-599.561283	1.028570	Hir04
56845.901319	-626.148964	0.961288	Hir04
56890.735765	111.841854	1.023923	Hir04
57058.173912	-124.483246	1.164010	Hir04
57211.943406	-258.068490	1.020592	Hir04
58645.796398	121.750400	0.982483	Hir04
53486.6202	-20997.282168	11.322715	ELODIE
53933.4194	-20297.908317	12.959945	ELODIE
53934.3814	-20274.908373	15.178762	ELODIE
55330.5521999998	-20626.990083	4.000000	SOPHIE
55361.46109999996	-20880.991892	4.000000	SOPHIE
55398.382100000046	-20162.994053	3.000000	SOPHIE
55405.35719999997	-20141.994461	4.000000	SOPHIE
55424.35140000004	-20369.995573	4.000000	SOPHIE
55425.36400000006	-20359.995632	4.000000	SOPHIE
55427.372599999886	-20375.995750	4.000000	SOPHIE
55441.402100000065	-20501.996571	4.000000	SOPHIE
55449.29320000019	-20540.997032	4.000000	SOPHIE
55479.275700000115	-20765.998787	5.000000	SOPHIE
55503.24399999995	-20999.000190	4.000000	SOPHIE
55513.21680000005	-21137.000774	4.000000	SOPHIE
55525.239300000016	-20823.001477	5.000000	SOPHIE
55540.23719999986	-20210.002355	5.000000	SOPHIE
55584.722899999935	-20592.004958	4.000000	SOPHIE
