JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
51552.022870	-125.336167	1.546482	Hir94
51582.860231	-153.610764	1.666491	Hir94
51899.124502	107.321152	1.380780	Hir94
51901.135660	25.079498	1.435783	Hir94
51972.022604	-181.850510	1.568304	Hir94
51972.996505	-109.807648	1.531683	Hir94
51973.893611	13.692917	1.372856	Hir94
51974.877581	168.558212	1.430356	Hir94
51982.982778	-34.645371	1.582087	Hir94
52003.790046	-165.024468	1.593230	Hir94
52007.868449	10.232010	1.657261	Hir94
52062.749062	162.426254	1.485808	Hir94
52064.768044	-80.767151	1.504096	Hir94
52236.011898	-184.227905	1.604020	Hir94
52573.104630	-115.785950	1.503649	Hir94
52574.114225	-233.636826	1.548014	Hir94
52576.084988	-88.555954	1.699261	Hir94
52601.024525	-118.700501	1.530832	Hir94
52602.054815	47.554733	1.319325	Hir94
52603.106447	146.077194	1.313294	Hir94
52654.036516	32.133758	1.552203	Hir94
52711.764016	-219.487549	1.736024	Hir94
52712.820637	-236.237930	1.517770	Hir94
52989.023241	-262.145127	1.480623	Hir94
53303.136308	-243.914626	1.119376	Hir04
53400.913241	-1.580991	1.119476	Hir04
53752.955961	-114.228201	1.225496	Hir04
53753.917002	-246.544069	1.058292	Hir04
53841.843275	-245.132253	1.119503	Hir04
54130.967569	-233.025412	1.125263	Hir04
54131.873692	-179.731542	1.159982	Hir04
54138.986354	-64.588463	1.086498	Hir04
54428.034850	9.583677	1.087049	Hir04
54429.039769	158.037929	1.062182	Hir04
54429.042789	161.550999	1.000097	Hir04
54429.046100	158.755717	1.044245	Hir04
54547.838160	106.151369	1.310440	Hir04
54602.751748	-125.847064	1.219286	Hir04
54603.753067	11.687880	1.254603	Hir04
54807.028391	49.568458	1.226895	Hir04
55167.096344	-138.592094	1.097030	Hir04
55168.034758	-38.175669	1.211519	Hir04
55168.980580	106.606547	1.091930	Hir04
55196.951528	-94.640028	1.313786	Hir04
55201.871284	192.721098	1.195794	Hir04
55202.860087	-25.341786	1.203412	Hir04
55229.872335	-136.547739	1.167246	Hir04
55258.991873	62.173452	1.047003	Hir04
55343.805009	-27.086987	1.186463	Hir04
55465.138561	240.751965	1.174515	Hir04
55518.043806	-137.269330	1.107922	Hir04
55636.927904	-127.504514	1.211227	Hir04
55877.037323	-30.936887	1.125843	Hir04
56203.121526	-46.257303	1.360731	Hir04
56446.754118	-87.272387	1.260574	Hir04
56639.932720	98.693123	1.394464	Hir04
56676.103058	285.116593	1.008040	Hir04
57401.961756	-16.959640	1.200757	Hir04
57714.133771	-35.613665	2.476550	Hir04
58393.148058	-22.648437	1.347748	Hir04
58396.147088	343.432598	1.276794	Hir04
58491.005092	251.084525	1.347970	Hir04
58568.782492	-36.695441	1.238098	Hir04
58777.153878	86.514829	1.174782	Hir04
58905.841086	103.792624	1.142933	Hir04
51913.921875	116.029175	7.461546	Lick
51914.832031	-23.266516	8.038580	Lick
51915.771484	-29.419291	6.818363	Lick
51927.789444	-40.325691	9.487133	Lick
51945.809570	9.916727	7.793306	Lick
51946.783203	-34.072746	9.686891	Lick
