JD–2400000	VRad(m s-1)	sVRAD(m s-1)	instrument
50829.9937	-12.92	2.19	Hir94
51119.2511	-42.55	4.6	Hir94
51236.0336	-51.35	2.71	Hir94
51411.3257	-54.940000000000005	2.83	Hir94
51473.2677	-52.339999999999996	2.17	Hir94
51526.0812	-64.13000000000001	2.18	Hir94
51527.0828	-60.61	2.02	Hir94
51530.1287	-58.95	2.22	Hir94
51629.9124	-63.45	2.52	Hir94
51683.843	-69.61	2.3	Hir94
51828.1883	-37.46	2.11	Hir94
51919.0997	-10.370000000000001	3.32	Hir94
51921.1391	-13.6	2.25	Hir94
51983.9198	20.81	2.4099999999999997	Hir94
52060.8404	165.67000000000002	2.14	Hir94
52092.3374	239.67	2.17	Hir94
52093.3522	240.12	2.0500000000000003	Hir94
52127.3286	314.41	2.69	Hir94
52128.3364	314.71	1.98	Hir94
52130.339	316.85999999999996	3.14	Hir94
52151.2924	336.08	2.2	Hir94
52154.305	325.34999999999997	5.0	Hir94
52187.1966	311.37	1.91	Hir94
52188.2366	311.45	1.97	Hir94
52189.2226	307.78	1.72	Hir94
52190.1455	309.29	1.8699999999999999	Hir94
52387.8714	127.16	1.6199999999999999	Hir94
52510.3074	69.62	2.11	Hir94
52592.1264	46.199999999999996	1.61	Hir94
52599.1554	46.550000000000004	5.8	Hir94
52654.0993	44.3	2.26	Hir94
52708.9851	32.04	11.37	Hir94
52751.9185	16.17	2.06	Hir94
52944.2248	-14.99	1.96	Hir94
53004.0755	-6.33	1.9300000000000002	Hir94
53042.0787	-11.45	2.06	Hir94
53043.0181	-15.5	2.2300000000000004	Hir94
53047.0501	-10.959999999999999	2.16	Hir94
53048.0985	-20.7	1.73	Hir94
53245.3116	-42.42	2.5	Hir04
53402.0353	-35.4	0.92	Hir04
53669.244	-57.87	0.9700000000000001	Hir04
54012.2497	-4.68	0.95	Hir04
54039.1697	3.5100000000000002	1.1199999999999999	Hir04
54224.854	326.79999999999995	1.0399999999999998	Hir04
54336.3154	233.68	1.83	Hir04
54337.2922	238.0	1.57	Hir04
54372.2709	195.21	1.83	Hir04
54425.2248	157.70999999999998	1.36	Hir04
54545.9432	90.94	1.0399999999999998	Hir04
54841.0648	21.04	1.47	Hir04
54901.9414	7.1000000000000005	2.04	Hir04
54905.9923	4.5	1.6	Hir04
54906.9749	5.29	1.28	Hir04
55106.2401	-17.48	1.97	Hir04
55170.2379	-20.150000000000002	1.34	Hir04
55202.0552	-14.97	1.9200000000000002	Hir04
55252.97	-32.26	1.32	Hir04
55521.2013	-45.400000000000006	1.59	Hir04
55585.9968	-35.64	1.7	Hir04
55664.8584	-44.55	1.48	Hir04
55846.252	-48.01	1.52	Hir04
55898.1102	-46.730000000000004	1.28	Hir04
55899.1379	-49.53	1.48	Hir04
55962.0046	-35.37	1.27	Hir04
55965.0396	-37.580000000000005	1.3699999999999999	Hir04
55966.9802	-36.589999999999996	2.25	Hir04
56382.9076	296.41	1.46	Hir04
56558.2636	145.24	1.32	Hir04
56708.9621	73.76	1.91	Hir04
56769.8676	59.66	2.15	Hir04
56770.8867	72.12	2.0100000000000002	Hir04
56938.2419	28.23	2.69	Hir04
56969.1694	19.0	1.6900000000000002	Hir04
57054.9742	16.72	1.95	Hir04
57094.9653	7.57	1.6199999999999999	Hir04
57349.2184	-23.86	1.9400000000000002	Hir04
53001.8304	10659.99	1.4400000000000002	H03
53034.6073	10666.470000000001	0.78	H03
53289.8697	10644.82	1.25	H03
53289.8708	10642.77	1.09	H03
53289.8718	10644.65	1.07	H03
53289.8729	10644.94	1.13	H03
53289.8739	10645.22	1.15	H03
53289.875	10646.48	1.15	H03
53289.876	10645.91	1.1	H03
53289.8771	10647.15	1.09	H03
53289.8782	10644.92	1.1800000000000002	H03
53289.8792	10647.27	1.14	H03
53291.8721	10638.529999999999	1.55	H03
53291.8731	10641.220000000001	1.58	H03
53291.8742	10636.69	1.79	H03
53291.8752	10642.22	1.64	H03
53291.8763	10638.37	1.4400000000000002	H03
53291.8773	10637.81	1.45	H03
53291.8784	10638.09	1.6	H03
53291.8794	10639.92	1.4400000000000002	H03
53292.8677	10640.73	1.55	H03
53292.8688	10636.09	1.6	H03
53292.8698	10638.71	1.5399999999999998	H03
53292.8709	10639.41	1.59	H03
53292.8719	10636.33	1.6199999999999999	H03
53292.873	10636.4	1.5299999999999998	H03
53292.874	10640.83	1.58	H03
53292.8751	10639.54	1.7	H03
53294.8677	10637.29	1.6199999999999999	H03
53294.8688	10630.779999999999	1.9300000000000002	H03
53294.8699	10630.67	2.26	H03
53294.8709	10634.96	2.02	H03
53294.8719	10633.89	1.97	H03
53294.873	10638.65	1.89	H03
53294.8741	10634.48	1.82	H03
53294.8751	10634.72	1.96	H03
53296.8641	10637.740000000002	0.98	H03
53296.8651	10638.19	0.8899999999999999	H03
53296.8662	10635.89	0.92	H03
53296.8673	10635.12	0.92	H03
53296.8683	10638.57	0.94	H03
53296.8694	10639.32	0.92	H03
53296.8704	10638.220000000001	0.8899999999999999	H03
53296.8715	10635.439999999999	0.99	H03
53296.8726	10636.41	0.8899999999999999	H03
53296.8736	10638.87	0.95	H03
54047.7963	10689.289999999999	0.48000000000000004	H03
54049.7768	10686.24	0.51	H03
54051.7893	10689.769999999999	0.6	H03
54051.7939	10689.4	0.5599999999999999	H03
54053.8538	10693.25	0.3	H03
54053.8575	10691.800000000001	0.39	H03
54055.8425	10695.15	0.4	H03
54055.8473	10694.06	0.39	H03
55111.8704	10657.06	0.35	H03
55111.8759	10657.400000000001	0.32	H03
55115.8554	10658.53	0.53	H03
55115.861	10658.33	0.5599999999999999	H03
55123.8644	10655.300000000001	0.5	H03
55123.8685	10654.91	0.53	H03
55123.8724	10654.98	0.51	H03
55124.8595	10659.3	0.45	H03
55124.8627	10658.59	0.46	H03
55124.8662	10657.78	0.5	H03
55126.8301	10657.37	0.38	H03
55126.8339	10657.310000000001	0.37	H03
55126.8378	10658.75	0.36000000000000004	H03
55128.8596	10657.78	0.36000000000000004	H03
55128.8635	10659.800000000001	0.39	H03
55128.8673	10659.39	0.4	H03
55129.8586	10657.42	0.43	H03
55129.8619	10658.210000000001	0.45	H03
55129.8651	10656.83	0.51	H03
55133.8356	10657.460000000001	0.55	H03
55133.8414	10657.66	0.53	H03
55135.8146	10656.15	0.27999999999999997	H03
55135.8201	10656.76	0.29	H03
55138.8325	10659.050000000001	0.35	H03
55138.8378	10659.65	0.33	H03
55140.8049	10658.609999999999	0.4	H03
55140.8104	10658.88	0.36000000000000004	H03
55164.6598	10657.75	0.54	H03
55164.6631	10657.89	0.51	H03
55164.6664	10658.49	0.49	H03
55166.6152	10657.220000000001	0.36000000000000004	H03
55166.6185	10655.49	0.37	H03
55166.6218	10655.51	0.38	H03
55167.6346	10655.86	0.46	H03
55167.6372	10654.880000000001	0.45	H03
55167.6399	10656.66	0.47	H03
55167.6426	10656.82	0.47	H03
55168.6583	10655.65	0.39	H03
55168.661	10654.45	0.38	H03
55168.6637	10655.41	0.38	H03
55168.6664	10654.619999999999	0.39	H03
55169.6633	10658.03	0.47	H03
55169.6659	10656.57	0.47	H03
55169.6686	10658.27	0.49	H03
55169.6713	10657.56	0.46	H03
55279.4871	10645.9	0.49	H03
